TIME SLOT: extraction/30min Pattern, Confidence-Frequence
Total number of input patterns: 29371
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.9471153846153846 - 197']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.9372549019607843 - 478']]
[[[['QuasiPiena_T0_0,Normal_T0_1,Normal_T0_1'], ['Normal_T1_0'], ['Normal_T2_0']]], ['0.9213483146067416 - 82']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.9206730769230769 - 383']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.896551724137931 - 52']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2,QuasiPiena_T1_1'], ['Normal_T2_2']]], ['0.8954545454545455 - 394']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.889589905362776 - 282']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8888888888888888 - 96']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8865979381443299 - 172']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8787878787878788 - 87']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.8780487804878049 - 1008']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Normal_T1_2'], ['Normal_T2_2']]], ['0.8763837638376384 - 950']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8762886597938144 - 85']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8760330578512396 - 424']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2'], ['Normal_T1_2'], ['Normal_T2_2']]], ['0.8723776223776224 - 998']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8722466960352423 - 396']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8699902248289345 - 1780']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_1'], ['Normal_T2_2']]], ['0.868421052631579 - 396']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8683974932855864 - 1940']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T1_2'], ['Normal_T2_2']]], ['0.8669724770642202 - 378']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0,Normal_T1_1'], ['Normal_T2_1']]], ['0.8625 - 345']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_2'], ['Normal_T2_2']]], ['0.8604651162790697 - 296']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2'], ['Normal_T2_2']]], ['0.8573216520650814 - 1370']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.8542372881355932 - 1008']]
[[[['Normal_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0']]], ['0.8541666666666666 - 41']]
[[[['Normal_T0_0,QuasiPiena_T0_3'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8526785714285714 - 191']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2,QuasiPiena_T1_1'], ['Normal_T2_2']]], ['0.8524173027989822 - 335']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8518518518518519 - 92']]
[[[['Normal_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.8515901060070671 - 482']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2,Normal_T0_2'], ['Normal_T2_2']]], ['0.8502202643171806 - 386']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.85 - 544']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['Normal_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8492063492063492 - 107']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8489932885906041 - 506']]
[[[['Normal_T0_0,Normal_T0_1'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8481675392670157 - 324']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2,QuasiPiena_T1_3'], ['Normal_T2_2']]], ['0.8475336322869955 - 378']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_1'], ['Normal_T2_1']]], ['0.8464912280701754 - 386']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['Normal_T2_0']]], ['0.8461538461538461 - 66']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.8454545454545455 - 837']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_2'], ['Normal_T2_0']]], ['0.8442211055276382 - 504']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Normal_T1_1'], ['Normal_T2_1']]], ['0.8436018957345972 - 356']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8422619047619048 - 283']]
