,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
34_T4,1.0,0.9927224116003416,0.9826582569781329,0.9727123377437915,0.9631049099832736,-0.1775430466161826,-0.17737897107369263,-0.17685703744961795,-0.17630067829345092,-0.1756402482943609,-0.3290288490672784,-0.32741713362629427,-0.3253826056005662,-0.32366326357321107,-0.32213875791703395,-0.2711334443463479,-0.26863922137814955,-0.2641179838402198,-0.2593952515730486,-0.25448439493181724,-0.2118779449857851,-0.21043023575161615,-0.20802477829419902,-0.20523291009006298,-0.20234434830065712
34_T3,0.9927224116003416,1.0,0.9927227107037615,0.9826589699407834,0.9727134595226725,-0.17606072045837295,-0.17752625732893476,-0.17736760885313518,-0.1768490195626202,-0.17629267122392783,-0.32849270393815866,-0.32904169995037047,-0.3274340285725756,-0.32539956661262875,-0.32368027433301017,-0.2681383427145434,-0.27112243610059805,-0.2686282477147888,-0.26409871378869015,-0.25937750705690604,-0.21088162717983483,-0.21181016999527305,-0.21036251201070702,-0.20795718454209478,-0.20516548266928472
34_T2,0.9826582569781329,0.9927227107037615,1.0,0.9927230097653116,0.982659682803633,-0.17379162904334336,-0.17604396015448462,-0.17751489646653673,-0.17735958275393554,-0.1768410025399961,-0.32682187611575975,-0.32850558662339835,-0.32905852481167186,-0.3274509216209806,-0.3254165257183735,-0.2632543440747802,-0.2681273808571333,-0.2711114290533481,-0.2686088877794058,-0.26408087081951626,-0.20870282791038725,-0.210813875727779,-0.21174240679714304,-0.21029480005719975,-0.20788960255556416
34_T1,0.9727123377437915,0.9826589699407834,0.9927230097653116,1.0,0.9927233087854113,-0.17159323562161552,-0.17377492015758847,-0.17603263012075188,-0.17750686898410112,-0.17735155751977705,-0.325156903082978,-0.32683480821183103,-0.3285224475199246,-0.32907534778494757,-0.32746781277179116,-0.2582547965440029,-0.26324347686802424,-0.268116420193159,-0.27109203842029517,-0.2685909561200606,-0.20605017941750928,-0.20863518923663985,-0.21074613606867335,-0.21167465538828392,-0.21022709988798696
34_T0,0.9631049099832736,0.9727134595226725,0.982659682803633,0.9927233087854113,1.0,-0.16916050839120356,-0.17157657947083615,-0.17376363966838893,-0.17602463507643895,-0.17749884236621052,-0.3234769459691588,-0.3251698783447549,-0.32685172399438117,-0.328539306522943,-0.3290921688704828,-0.25378978101660443,-0.2582440315750027,-0.263232610843618,-0.268097076276984,-0.27107407586471177,-0.20315045556965192,-0.20598269728985266,-0.20856756233792262,-0.2106784081993709,-0.2116069157655475
35_T4,-0.1775430466161826,-0.17606072045837295,-0.17379162904334336,-0.17159323562161552,-0.16916050839120356,1.0,0.9767464770365084,0.948162893594954,0.9247661663470811,0.9059382338706998,-0.028374054867772256,-0.02696031872844083,-0.024440748506650012,-0.021603368971950462,-0.01867894796734821,-0.17372381299346384,-0.1725313971131132,-0.16956058208136957,-0.1668674501679669,-0.1646138898670444,-0.08062333162956924,-0.0799215378830407,-0.07880835991681753,-0.0776919166181874,-0.07662284026878856
35_T3,-0.17737897107369263,-0.17752625732893476,-0.17604396015448462,-0.17377492015758847,-0.17157657947083615,0.9767464770365084,1.0,0.9767462102870363,0.948162139103836,0.9247654639411693,-0.028775556291044144,-0.02838052023073974,-0.026968252677485677,-0.02444870910340161,-0.02161135876239988,-0.17104945424988222,-0.17372173999787996,-0.1725293237946113,-0.169555749982881,-0.1668631051288225,-0.08070569571856595,-0.0806028713956754,-0.07990110843650026,-0.0787879782906262,-0.07767158116465754
35_T2,-0.17685703744961795,-0.17736760885313518,-0.17751489646653673,-0.17603263012075188,-0.17376363966838893,0.948162893594954,0.9767462102870363,1.0,0.9767461032366747,0.9481620586176103,-0.027676490782356473,-0.028779340215700954,-0.028385133591505955,-0.026972879401907374,-0.024453358236885565,-0.1671404858420929,-0.17104828464424723,-0.17372056854607193,-0.1725263832552079,-0.16955312912000484,-0.08073229456429115,-0.08069236510615711,-0.08058954049233995,-0.07988780989022207,-0.07877472642732251
35_T1,-0.17630067829345092,-0.1768490195626202,-0.17735958275393554,-0.17750686898410112,-0.17602463507643895,0.9247661663470811,0.948162139103836,0.9767461032366747,1.0,0.9767461138757909,-0.02649741024803197,-0.02767859486424581,-0.028781874922984747,-0.028387673914776215,-0.026975430208977542,-0.1634825973271977,-0.1671398230614399,-0.1710476199476493,-0.1737187565589835,-0.17252478274025923,-0.08070130381488885,-0.08072339446276659,-0.0806834654008818,-0.08058063828753928,-0.07987894123852057
35_T0,-0.1756402482943609,-0.17629267122392783,-0.1768410025399961,-0.17735155751977705,-0.17749884236621052,0.9059382338706998,0.9247654639411693,0.9481620586176103,0.9767461138757909,1.0,-0.025068758476881906,-0.026499521374916252,-0.02768113834423733,-0.028784409443388975,-0.028390214050822343,-0.16012147364697446,-0.16348193623498758,-0.16713916031941475,-0.17104581486497208,-0.17371715400215793,-0.08069835072916128,-0.08069240418309306,-0.08071449565294149,-0.08067456698689617,-0.08057173737365785
