,27_T4,27_T3,27_T2,27_T1,27_T0,28_T4,28_T3,28_T2,28_T1,28_T0,29_T4,29_T3,29_T2,29_T1,29_T0,30_T4,30_T3,30_T2,30_T1,30_T0,31_T4,31_T3,31_T2,31_T1,31_T0,32_T4,32_T3,32_T2,32_T1,32_T0,33_T4,33_T3,33_T2,33_T1,33_T0
27_T4,1.0,0.9642072785477142,0.9053776999049171,0.8441414583350967,0.7838773892345074,-0.45037547611497675,-0.42859195087667734,-0.38913068017966584,-0.34987315364187244,-0.31420911488335235,-0.09637012577349346,-0.08916639740548297,-0.076859760595125,-0.06373302379342018,-0.05111673690743261,-0.12299244307634473,-0.11640207334218103,-0.10694359462050057,-0.09313638364560263,-0.07708826897700244,0.13068114715071957,0.11471523324231454,0.08941981539505878,0.06396449912820865,0.040909330072278496,0.07294692635197622,0.05775292112861452,0.03144662574032384,0.003413553511450755,-0.02190683286154365,0.03812749401027577,0.04427196675004386,0.05289691579650834,0.0629062089392797,0.0741591406914495
27_T3,0.9642072785477142,1.0,0.964207284086948,0.905377714531808,0.8441406388668821,-0.42859511158894786,-0.4503756087938727,-0.42859198650524605,-0.38913069799483624,-0.34987317461520767,-0.09494107600733277,-0.0963702784910281,-0.08916676216404415,-0.07686049543818738,-0.06373415529997167,-0.12570401409143914,-0.12298313251256374,-0.11639306586742457,-0.10693501788743075,-0.09312843117308099,0.1334608295030304,0.13068035109220072,0.11471456969427027,0.08941936904036583,0.06396363804000588,0.07172922380219122,0.07294634023117726,0.05775190793139093,0.03144577677160985,0.0034130936850755977,0.03767470409386163,0.03812708238161687,0.04427155238488825,0.05289649658186447,0.06290578365052446
27_T2,0.9053776999049171,0.964207284086948,1.0,0.964207289625416,0.9053768647981493,-0.39021828429937655,-0.4285952568212254,-0.4503756428205613,-0.42859200085063404,-0.38913071580804137,-0.08602682833023291,-0.09494126580442923,-0.09637043126824996,-0.08916712693892608,-0.07686123022202347,-0.12232615137858464,-0.12569458449904136,-0.12297382410365461,-0.11638406047276155,-0.10692644312677814,0.12340901370042014,0.13346000428833316,0.1306795551664075,0.11471390625735599,0.08941795992540807,0.056935701130632496,0.07172864657504521,0.07294515276788663,0.05775069241426142,0.03144492794929616,0.04371545383540292,0.03767429367702419,0.03812667080039401,0.04427113806751418,0.052896077415584705
27_T1,0.8441414583350967,0.905377714531808,0.964207289625416,1.0,0.964206409596547,-0.35462974775616457,-0.3902184520160223,-0.42859529240329397,-0.4503756558156312,-0.4285920151943759,-0.0750307815177593,-0.08602728350502853,-0.09494145565363858,-0.09637058410515016,-0.08916749173010437,-0.10995663835205834,-0.12231687859497593,-0.125685157092308,-0.12296451784881376,-0.1163750571574361,0.10753256806679176,0.12340827247326985,0.13345917921117897,0.13067875937332837,0.11471195555607427,0.03993497546281663,0.05693519535727975,0.07172747743359677,0.07294372061727725,0.057749477109179916,0.05521802444679566,0.043715039924139706,0.03767388330749924,0.03812625926660918,0.044270723797915565
27_T0,0.7838773892345074,0.8441406388668821,0.9053768647981493,0.964206409596547,1.0,-0.32338505137379664,-0.3546284382569064,-0.39021808387764245,-0.42859497343411046,-0.45037532551838,-0.06407411052331811,-0.07502113623328947,-0.08601731477191372,-0.09493121992213306,-0.0963603179969499,-0.09200803941049567,-0.10996064543045313,-0.12232030848127011,-0.12568842849206152,-0.12296790699846313,0.09023462450479657,0.1075258475548505,0.12340140910583913,0.13345222388890882,0.13066687420279033,0.023957018831327122,0.039938960464437935,0.05694097943206529,0.07173363592575561,0.07294985365376126,0.06989884967354178,0.0552189134685465,0.04371593745263593,0.03767478492742672,0.03812716045239598
28_T4,-0.45037547611497675,-0.42859511158894786,-0.39021828429937655,-0.35462974775616457,-0.32338505137379664,1.0,0.9631333935148714,0.908414372335042,0.8629993765555283,0.826220887410999,0.039860023463805475,0.034657849717041736,0.02623493186562247,0.018639821205698934,0.012496882402724271,-0.1857111408824832,-0.1812457138510167,-0.17509147887333026,-0.17432538756141047,-0.1762069940768563,-0.1857059570902576,-0.1699651868522158,-0.14667383308283233,-0.12596790633731525,-0.10937401413039333,-0.24169191354580802,-0.21709648252424477,-0.17940409400941681,-0.14606747229461034,-0.1188445324847174,-0.023982390920387325,-0.02600247954197309,-0.026840537446437433,-0.028916544357995462,-0.0322697025856724
28_T3,-0.42859195087667734,-0.4503756087938727,-0.4285952568212254,-0.3902184520160223,-0.3546284382569064,0.9631333935148714,1.0,0.9631330755348699,0.9084140267894036,0.8629990543870006,0.03665796981164146,0.03986670207135795,0.034664676366443645,0.026242015446331528,0.018647136348954277,-0.17338330927798545,-0.1857123420711403,-0.18124710495950971,-0.17509315187232233,-0.17432709604097468,-0.18342282397815488,-0.1857104839431454,-0.16996986128735747,-0.14667873407197676,-0.12597505642643614,-0.22640903446840177,-0.2416858076838819,-0.2170866013576212,-0.17939334248636732,-0.1460572279314917,-0.01858119720841073,-0.023981357901372645,-0.026001446399084603,-0.026839503523035574,-0.02891550794250117
28_T2,-0.38913068017966584,-0.42859198650524605,-0.4503756428205613,-0.42859529240329397,-0.39021808387764245,0.908414372335042,0.9631330755348699,1.0,0.9631330743982169,0.9084140271832426,0.02711663867119957,0.036658385112587476,0.03986703386012354,0.03466515071589367,0.02624274214775584,-0.1625283985558238,-0.1733773320387209,-0.18570582627466445,-0.18124077368312372,-0.1750871004436811,-0.1692259767428745,-0.18342394317351787,-0.18571158877061827,-0.16997109581171554,-0.14667986888456985,-0.1961134488353156,-0.2264058990959833,-0.24167994068927365,-0.21708006294968163,-0.17938733939072177,-0.015569566943965558,-0.018580994166727923,-0.023981150350664112,-0.026001239649283647,-0.02683929642590544
28_T1,-0.34987315364187244,-0.38913069799483624,-0.42859200085063404,-0.4503756558156312,-0.42859497343411046,0.8629993765555283,0.9084140267894036,0.9631330743982169,1.0,0.9631330750201238,0.017962666416952232,0.027116833176006265,0.036658291112492046,0.039866856853348946,0.03466511595538908,-0.1602010423295137,-0.16252229078021976,-0.17337073315546092,-0.18569868946616586,-0.18123382104706368,-0.15428802678616058,-0.16922694333113922,-0.183424782112557,-0.18571241371747346,-0.16997128080088983,-0.16960746215652528,-0.19611068148905716,-0.2264005504263179,-0.24167342006347672,-0.21707390118288403,-0.018042645641945763,-0.015569430247833294,-0.01858085638353036,-0.023981008148441514,-0.026001098262431927
28_T0,-0.31420911488335235,-0.34987317461520767,-0.38913071580804137,-0.4285920151943759,-0.45037532551838,0.826220887410999,0.8629990543870006,0.9084140271832426,0.9631330750201238,1.0,0.010546512659492841,0.01796313126392878,0.027117027671366617,0.03665819716181465,0.039866679913240964,-0.16356730269288433,-0.1601950339883948,-0.1625161845855833,-0.1733641359753409,-0.18569155449483007,-0.14064296108150987,-0.1542891237986188,-0.16922790978155594,-0.18342562093458334,-0.18571227430351858,-0.14816587743733722,-0.16960482420122736,-0.1961056722565651,-0.22639425260787274,-0.24166690056255208,-0.02320236225231241,-0.018042508160950405,-0.015569293567449462,-0.018580718616201475,-0.023980865962587267
29_T4,-0.09637012577349346,-0.09494107600733277,-0.08602682833023291,-0.0750307815177593,-0.06407411052331811,0.039860023463805475,0.03665796981164146,0.02711663867119957,0.017962666416952232,0.010546512659492841,1.0,0.9873723479275419,0.9683019914720417,0.9500362376345449,0.9327704801773227,0.025331487779861998,0.02501069574634404,0.023555800378655112,0.019728503794223473,0.01470270609003808,-0.29512723749737024,-0.2826250140896295,-0.26343176162098864,-0.24516930819080276,-0.22880478027743475,-0.05049740377034677,-0.04538795367830523,-0.03189469876476048,-0.01780019722894073,-0.006217766382085167,0.11365642804315824,0.11659488803015133,0.11929769539442212,0.12042201004033276,0.12094892288116116
29_T3,-0.08916639740548297,-0.0963702784910281,-0.09494126580442923,-0.08602728350502853,-0.07502113623328947,0.034657849717041736,0.03986670207135795,0.036658385112587476,0.027116833176006265,0.01796313126392878,0.9873723479275419,1.0,0.9873731062747518,0.9683038950212106,0.9500392379503687,0.025026963823795535,0.025255945102305,0.02493513765643083,0.023480368882532854,0.019653372481839616,-0.28543591155418757,-0.29514949294603954,-0.28264786288483973,-0.26345549245799293,-0.24521146004981964,-0.044867406039044114,-0.050468835691683936,-0.045345005751640376,-0.03184755823613548,-0.0177537901503466,0.1142267023887988,0.11366063022048839,0.11659899792376086,0.11930172262565694,0.12042600611186384
29_T2,-0.076859760595125,-0.08916676216404415,-0.09637043126824996,-0.09494145565363858,-0.08601731477191372,0.02623493186562247,0.034664676366443645,0.03986703386012354,0.036658291112492046,0.027117027671366617,0.9683019914720417,0.9873731062747518,1.0,0.9873738644442123,0.96830579812453,0.022473561603069535,0.024951425051492605,0.025180422406513032,0.024859599561663424,0.023404957345841585,-0.2678497723840691,-0.28545862715080567,-0.29517174354026554,-0.2826707066761526,-0.2634965711142593,-0.033909108505762474,-0.044839068448426465,-0.050425670971718566,-0.045297179470441866,-0.0318004290249441,0.11394816858035675,0.1142308810613017,0.11366483176106108,0.11660310719906555,0.11930574925540198
29_T1,-0.06373302379342018,-0.07686049543818738,-0.08916712693892608,-0.09637058410515016,-0.09493121992213306,0.018639821205698934,0.026242015446331528,0.03466515071589367,0.039866856853348946,0.03665819716181465,0.9500362376345449,0.9683038950212106,0.9873738644442123,1.0,0.9873746224362719,0.017244900497306922,0.022398213529419533,0.024875906267192688,0.02510491968450837,0.024784081454059793,-0.24976532877203123,-0.26787329287040934,-0.285481337776995,-0.29519398928168356,-0.2827106470090309,-0.02270267233243577,-0.033881226132825314,-0.04479616571019686,-0.050377618731746385,-0.045249364677182165,0.11208098515940929,0.11395236431258587,0.11423505910144635,0.11366903266507031,0.11660721585624073
29_T0,-0.05111673690743261,-0.06373415529997167,-0.07686123022202347,-0.08916749173010437,-0.0963603179969499,0.012496882402724271,0.018647136348954277,0.02624274214775584,0.03466511595538908,0.039866679913240964,0.9327704801773227,0.9500392379503687,0.96830579812453,0.9873746224362719,1.0,0.010602069387862487,0.01716994662686725,0.02232288539389291,0.02480040746291232,0.02502943692831581,-0.23229546984546745,-0.2497896745543914,-0.2678968081871735,-0.2855040434344255,-0.29523315112729753,-0.013001281289492347,-0.02267525723182171,-0.033838849062781645,-0.04474838932450687,-0.05032957802760809,0.10947365044650936,0.11208524570017486,0.11395655940915048,0.11423923650938184,0.11367323293263586
30_T4,-0.12299244307634473,-0.12570401409143914,-0.12232615137858464,-0.10995663835205834,-0.09200803941049567,-0.1857111408824832,-0.17338330927798545,-0.1625283985558238,-0.1602010423295137,-0.16356730269288433,0.025331487779861998,0.025026963823795535,0.022473561603069535,0.017244900497306922,0.010602069387862487,1.0,0.9732168807914461,0.9381235635975336,0.9055047819169381,0.8748166175110466,-0.06267324873800435,-0.06017897139439056,-0.054113589860796216,-0.04498557054342218,-0.03394772987153098,-0.13487310348806458,-0.1342012856166854,-0.12775672810348995,-0.11699989474447148,-0.10374809420689725,0.08145808547546263,0.08063851732693154,0.07645744351886981,0.07149623651535049,0.0663918474929261
30_T3,-0.11640207334218103,-0.12298313251256374,-0.12569458449904136,-0.12231687859497593,-0.10996064543045313,-0.1812457138510167,-0.1857123420711403,-0.1733773320387209,-0.16252229078021976,-0.1601950339883948,0.02501069574634404,0.025255945102305,0.024951425051492605,0.022398213529419533,0.01716994662686725,0.9732168807914461,1.0,0.9732193010215641,0.938129154021772,0.905513318274891,-0.0634645727347945,-0.0626298100065446,-0.060135646468359574,-0.054070593955392834,-0.04491932153798432,-0.13298385076538305,-0.13489577253659465,-0.1342390892925127,-0.1277998718453735,-0.11704367822560383,0.07843654359052332,0.08144495691227178,0.08062542763758337,0.0764445449205913,0.07148356052606605
30_T2,-0.10694359462050057,-0.11639306586742457,-0.12297382410365461,-0.125685157092308,-0.12232030848127011,-0.17509147887333026,-0.18124710495950971,-0.18570582627466445,-0.17337073315546092,-0.1625161845855833,0.023555800378655112,0.02493513765643083,0.025180422406513032,0.024875906267192688,0.02232288539389291,0.9381235635975336,0.9732193010215641,1.0,0.9732217205380471,0.9381347427977937,-0.061017965752395056,-0.0634210700733752,-0.06258638211715216,-0.0600923323577797,-0.05400373331323663,-0.12874279067903147,-0.13300661812883066,-0.1349335279857592,-0.13428183612094727,-0.12784300458128375,0.07269096079982842,0.07842356005214544,0.08143183120839217,0.08061234079911368,0.07643164912575927
30_T1,-0.09313638364560263,-0.10693501788743075,-0.11638406047276155,-0.12296451784881376,-0.12568842849206152,-0.17432538756141047,-0.17509315187232233,-0.18124077368312372,-0.18569868946616586,-0.1733641359753409,0.019728503794223473,0.023480368882532854,0.024859599561663424,0.02510491968450837,0.02480040746291232,0.9055047819169381,0.938129154021772,0.9732217205380471,1.0,0.9732241393412498,-0.05441345785376726,-0.06097460754457097,-0.06337757827555952,-0.0625429650655827,-0.06002508532016639,-0.12086310158937277,-0.12876577582144447,-0.1330444870530064,-0.13497622161362297,-0.1343245720545742,0.06663857786055873,0.07267823175867671,0.07841057933815315,0.0814187083628507,0.08059925681052395
30_T0,-0.07708826897700244,-0.09312843117308099,-0.10692644312677814,-0.1163750571574361,-0.12296790699846313,-0.1762069940768563,-0.17432709604097468,-0.1750871004436811,-0.18123382104706368,-0.18569155449483007,0.01470270609003808,0.019653372481839616,0.023404957345841585,0.024784081454059793,0.02502943692831581,0.8748166175110466,0.905513318274891,0.9381347427977937,0.9732241393412498,1.0,-0.04535332211948652,-0.05437047232421246,-0.06093126016021808,-0.06333409733709396,-0.06247560078375988,-0.11059720727659825,-0.12088649138809092,-0.12880388649300126,-0.13308730030265462,-0.13501890436673786,0.06025262539808016,0.06662611731243794,0.07266550547781828,0.07839760144755083,0.0814055883746058
