,21_T4,21_T3,21_T2,21_T1,21_T0,22_T4,22_T3,22_T2,22_T1,22_T0,23_T4,23_T3,23_T2,23_T1,23_T0,24_T4,24_T3,24_T2,24_T1,24_T0,25_T4,25_T3,25_T2,25_T1,25_T0,26_T4,26_T3,26_T2,26_T1,26_T0,83_T4,83_T3,83_T2,83_T1,83_T0
21_T4,1.0,0.9919804240827047,0.9845324316200565,0.9777968443044138,0.9712096070027473,-0.20526996575504494,-0.20490329370064092,-0.20408188606451044,-0.20297941736023817,-0.20190395018613594,0.23989566519549785,0.23898787293416193,0.23811330169448003,0.23706326652111057,0.23618029621112824,-0.005762080352414822,-0.006755879691886698,-0.0071936124464276816,-0.007632075212517323,-0.008287198607216634,0.3123810572705738,0.31236996653544363,0.312328592515398,0.3124125281512142,0.3128191333435222,0.024452246159109063,0.024228922764064482,0.0243012748032436,0.02467218268644491,0.025542715230033406,0.39871976068099535,0.39829950879335957,0.39859427483835974,0.39881769932769934,0.3988617066273768
21_T3,0.9919804240827047,1.0,0.9919802370252881,0.9845320681514848,0.9777968431072321,-0.2038977488277959,-0.20524033899272306,-0.20487368138905032,-0.2040522978801532,-0.20294986387066596,0.24038723751460497,0.23982889684906072,0.23892119653699562,0.2380467110521151,0.236996784515343,-0.005384580284822446,-0.0057878745957475495,-0.006781643427312567,-0.0072193588945647464,-0.007657802041092871,0.31348371857768614,0.3123829353472784,0.31237184832093196,0.31233047517628626,0.31241441062990083,0.023678801505265145,0.02441912343595673,0.024195813342898526,0.024268156352498755,0.02463904279129176,0.39786177643113485,0.3986818818497062,0.39826160973246616,0.3985563767066384,0.39877979874918357
21_T2,0.9845324316200565,0.9919802370252881,1.0,0.9919803244085542,0.9845323144013344,-0.20246779732164757,-0.2038620925966686,-0.20520464687543793,-0.20483800141105524,-0.2040166445566637,0.24099761087098737,0.2403094051111335,0.23975116003736022,0.238843547938587,0.23796915129538027,-0.00431202907271808,-0.005416558365642014,-0.005819810995434339,-0.006813552413555236,-0.007251248355642401,0.3139785342677412,0.31348560999071085,0.3123848310628509,0.3123737487966593,0.31233237661874297,0.02359640306367234,0.023638106655360622,0.024378404420229233,0.024155103536169023,0.024227437341674114,0.39747987912126104,0.3978169457642667,0.3986370805961459,0.3982167808074226,0.39851154919785714
21_T1,0.9777968443044138,0.9845320681514848,0.9919803244085542,1.0,0.9919804119258083,-0.20128885853221984,-0.20242961945561486,-0.2038238783854755,-0.20516639678696555,-0.20479976252257218,0.241477613102307,0.24091507422818836,0.24022697394724876,0.23966882920887272,0.23876130386099081,-0.0034315983336964343,-0.004346623010051461,-0.005451093804401403,-0.00585430113110658,-0.006848016253140252,0.31456526783243494,0.3139803738430007,0.31348745368578984,0.3123866801511826,0.31237560302392275,0.02365555248422254,0.02355252330085567,0.023594247413051102,0.024334522720013057,0.024111229374572777,0.3970419014100616,0.39743208415922987,0.39776915446381755,0.3985893217093231,0.39816899114039617
21_T0,0.9712096070027473,0.9777968431072321,0.9845323144013344,0.9919804119258083,1.0,-0.2002462029273218,-0.20125327540021337,-0.20239401100898732,-0.20378823553608363,-0.2051307180592872,0.2419540686923308,0.2413996356129324,0.24083719042624255,0.24014919437532506,0.2395911451264371,-0.003068384136483689,-0.0034636723248271735,-0.004378645529222678,-0.005483059116529672,-0.00588622478925712,0.31579722366496765,0.314567151530122,0.31398226137814955,0.31348934463788214,0.3123885754047659,0.023516785554977982,0.02361481158553457,0.02351182718716565,0.023553571556131057,0.02429382270005975,0.39628390139010333,0.39699708203103523,0.39738726911291217,0.3977243437503587,0.3985445403760671
22_T4,-0.20526996575504494,-0.2038977488277959,-0.20246779732164757,-0.20128885853221984,-0.2002462029273218,1.0,0.9927446682031899,0.981278582734378,0.9697266121304415,0.9582904969566474,-0.22942527489157385,-0.22786037651335933,-0.22528340619498827,-0.22232391229067852,-0.2193110923702598,-0.02051563835526501,-0.019517313009384137,-0.01816751526633229,-0.0167285595365935,-0.015019404715525934,-0.3103000901127328,-0.3069438899258517,-0.3006452868221093,-0.2939069147097026,-0.28722994525567597,-0.28046329195093667,-0.27949359284015124,-0.2768475011332659,-0.274181728687784,-0.2716001520292755,-0.07745848495496041,-0.07552366884495233,-0.07354451194928216,-0.07208989011615179,-0.07069518498665514
22_T3,-0.20490329370064092,-0.20524033899272306,-0.2038620925966686,-0.20242961945561486,-0.20125327540021337,0.9927446682031899,1.0,0.992745044771012,0.9812795542593582,0.9697281829108166,-0.2283721367381138,-0.22949575042209694,-0.22793103901640285,-0.22535435990533167,-0.22239520114048458,-0.019288875886363743,-0.020572546197534777,-0.01957429946361082,-0.018224565228521394,-0.01678567990039065,-0.30699627465538465,-0.3102835464621771,-0.3069274249782474,-0.3006289892449247,-0.29389079688517294,-0.2775916874951252,-0.28051342709726323,-0.27954380488380015,-0.27689790577224854,-0.27423232684703547,-0.07720668766571555,-0.07750828940941427,-0.07557361976673073,-0.07359454337289803,-0.07213998276763259
22_T2,-0.20408188606451044,-0.20487368138905032,-0.20520464687543793,-0.2038238783854755,-0.20239401100898732,0.981278582734378,0.992745044771012,1.0,0.9927454212566947,0.9812805255725473,-0.2261117696362021,-0.22844274415471638,-0.22956620235971337,-0.22800167785009862,-0.2254252898358285,-0.017538563687763662,-0.01934588977883665,-0.0206294408920249,-0.01963127274583499,-0.01828160200513925,-0.3000735335799767,-0.3069798088393232,-0.31026700577801425,-0.3069109629828119,-0.30061269458795026,-0.273120549276927,-0.2776420436535237,-0.2805635491901226,-0.27959400384962574,-0.276948297281335,-0.07666057621431131,-0.0772565581169248,-0.07755808091707746,-0.07562355769540495,-0.07364456178456814
22_T1,-0.20297941736023817,-0.2040522978801532,-0.20483800141105524,-0.20516639678696555,-0.20378823553608363,0.9697266121304415,0.9812795542593582,0.9927454212566947,1.0,0.9927457976603697,-0.223614243622357,-0.22618263285730053,-0.22851332792045045,-0.22963663071716897,-0.22807229302721718,-0.015799722143307476,-0.017595673114918393,-0.019402890491244957,-0.020686322443297996,-0.01968823286062738,-0.2926812863221575,-0.3000572532108666,-0.3069633459755266,-0.3102504680594709,-0.30689450393874507,-0.2687485483267151,-0.27317123669793664,-0.2776923866944807,-0.2806136582346742,-0.27964418974280014,-0.0762447862923226,-0.07671046949978678,-0.07730641559425042,-0.07760785948299548,-0.07567348263605327
22_T0,-0.20190395018613594,-0.20294986387066596,-0.2040166445566637,-0.20479976252257218,-0.2051307180592872,0.9582904969566474,0.9697281829108166,0.9812805255725473,0.9927457976603697,1.0,-0.22105618256116746,-0.22368539290868766,-0.22625347232858165,-0.22858388804805962,-0.22970703550718707,-0.014195265689010432,-0.01585692712512031,-0.017652769339899718,-0.01945987802815963,-0.020743190855916194,-0.28537745324773145,-0.29266520249857303,-0.3000409757584468,-0.3069468860631444,-0.3102339333056952,-0.26431680091579823,-0.2687995778217624,-0.2732219109111689,-0.27774271662321925,-0.2806637542361914,-0.07582919535249519,-0.07629469715686626,-0.07676034980502736,-0.07735626010277108,-0.07765762511225287
