,2_T4,2_T3,2_T2,2_T1,2_T0,3_T4,3_T3,3_T2,3_T1,3_T0,4_T4,4_T3,4_T2,4_T1,4_T0,5_T4,5_T3,5_T2,5_T1,5_T0,6_T4,6_T3,6_T2,6_T1,6_T0,7_T4,7_T3,7_T2,7_T1,7_T0,8_T4,8_T3,8_T2,8_T1,8_T0,9_T4,9_T3,9_T2,9_T1,9_T0,10_T4,10_T3,10_T2,10_T1,10_T0,11_T4,11_T3,11_T2,11_T1,11_T0,12_T4,12_T3,12_T2,12_T1,12_T0,13_T4,13_T3,13_T2,13_T1,13_T0,14_T4,14_T3,14_T2,14_T1,14_T0,16_T4,16_T3,16_T2,16_T1,16_T0,80_T4,80_T3,80_T2,80_T1,80_T0,84_T4,84_T3,84_T2,84_T1,84_T0
2_T4,1.0,0.9567736142757541,0.8881636217830774,0.8324277876509543,0.7902090523166503,0.09077703543751789,0.09588906581551014,0.10125665407049515,0.10382619119209092,0.10546433246021998,-0.2589595905099963,-0.23700731042655748,-0.20136350704706416,-0.16927543869146192,-0.13919929636912312,-0.12972955566238867,-0.12600388529422707,-0.11448189701856054,-0.10156989148743395,-0.09067012721402964,-0.25378759431575343,-0.2419825365821324,-0.22394935959890122,-0.20999306571357376,-0.19919554071937837,0.009489431521649773,0.015907570977381026,0.021413614353300074,0.023499896059024774,0.024218534443309726,-0.08836047873111193,-0.08817236572317298,-0.09050485207953506,-0.09169855202314318,-0.0913760517895562,-0.0017840504785092575,0.005913079234334592,0.01465920688699862,0.0184947770943883,0.018511700038853898,-0.049952795175060904,-0.03973425352034595,-0.024208875387950454,-0.01233403212637736,-0.006392332914410722,-0.16972594961838644,-0.16642079204736165,-0.15969758722769728,-0.15547050531064582,-0.15200753447830656,-0.04726555724191034,-0.049193298215338285,-0.04606200486632317,-0.042363470188786036,-0.03893951568139024,-0.11496177216458472,-0.11473684632706582,-0.1040427213319304,-0.0931279320280104,-0.08510240662452541,0.0636558682155778,0.059420895088415006,0.05898131904425207,0.06030224264676186,0.06162121112626406,-0.036693240450121074,-0.035082894220363973,-0.031172588338866714,-0.027355548924978785,-0.024305541217857843,-0.030419154463838464,-0.03473541809343073,-0.031059442429271184,-0.02471015734801471,-0.02330600799955093,-0.08467549891836386,-0.07447968306990002,-0.07154800783738023,-0.0732218963541472,-0.07389932652171924
2_T3,0.9567736142757541,1.0,0.956776772717313,0.8881717947785748,0.8324400357631632,0.09225695876896896,0.0907314273470304,0.09584319566915772,0.1012105232017771,0.10377993333934993,-0.24167644253694984,-0.2590548045592721,-0.23710633586147475,-0.20146856809519656,-0.16938592926490878,-0.11831059715934893,-0.12967220195217893,-0.12594668395646616,-0.11442531079553893,-0.10151399388437718,-0.24334275175331557,-0.25376780398570653,-0.24196231311598326,-0.22391914818243847,-0.20996726928419326,0.010818329524668468,0.009448096881579906,0.015865890968344353,0.021371663498567922,0.023457837019323628,-0.08866949698417576,-0.08822792343104081,-0.08803969786455122,-0.09037187809760175,-0.09154343761977296,-0.004199065945107276,-0.0018490819106848635,0.005847464391744419,0.014592986875663159,0.018428313061270393,-0.046262834807387854,-0.049954555208756544,-0.03974008305126049,-0.02421112193596844,-0.01236391741590662,-0.16111082796239035,-0.16972982040770207,-0.1664247873665037,-0.15970183117828426,-0.15547490606465314,-0.03917294573412659,-0.04731710651941084,-0.04924520225298635,-0.046115800049358904,-0.04241063091254053,-0.10362895640623838,-0.11501207932366156,-0.11478724163944228,-0.10409375185218342,-0.09317961131124428,0.06903390806331083,0.06351380726624682,0.0592793991849299,0.058839889035615225,0.06016059827262281,-0.03521810819529774,-0.036670565804273476,-0.035060275031343034,-0.031150125990550382,-0.0273332383977218,-0.02174597220832055,-0.030410796330796765,-0.034726887137937826,-0.031051072834660968,-0.02470206629023459,-0.09294750192665709,-0.08463973953788691,-0.07444432729770539,-0.07151280952845868,-0.07318660462799842
2_T2,0.8881636217830774,0.956776772717313,1.0,0.956779930336712,0.8881799656464004,0.09651471778339868,0.09221126311616375,0.0906858289076587,0.09579733523869348,0.10116440210853506,-0.20858189350238018,-0.2417746591371792,-0.25914997800758277,-0.23720531874060446,-0.20157358353027321,-0.10209926380979362,-0.11825381107408808,-0.12961486101245848,-0.12588949536363503,-0.11436873717844992,-0.2211761064893826,-0.2433233109778985,-0.2537471755723747,-0.24193139081688558,-0.22389281828957086,0.012548891570997778,0.010776902086424412,0.009406770926868428,0.01582421972805755,0.021329721474408685,-0.09151979625963387,-0.0885367669799175,-0.08809541961021464,-0.08790708157087658,-0.09021699459569608,-0.006075218824532671,-0.004263995187395716,-0.0019140973953898582,0.005781865654363306,0.014526783123301848,-0.03293623597531583,-0.046264738851455905,-0.04995999545837766,-0.03974176347673429,-0.024240493090810153,-0.14756470463043841,-0.1611150150250033,-0.16973369068410418,-0.16642878214498716,-0.15970607453263247,-0.028638069777955414,-0.039224989161072005,-0.047369070126472436,-0.04929879608367931,-0.046162746181765746,-0.0914409990787508,-0.10367997071581739,-0.11506237484754665,-0.11483762528451759,-0.10414477055383266,0.07456246910765907,0.06889090388740308,0.06337180731808714,0.05913796403521146,0.05869851974222085,-0.0348716790140971,-0.0351954812973232,-0.036647895581357656,-0.03503766025618918,-0.031127668022102248,-0.013823948946063362,-0.021738013017629624,-0.03040244013429136,-0.034718358167784125,-0.03104270518250826,-0.10123442569675563,-0.09291120699998005,-0.08460398981608754,-0.07440898107004636,-0.07147762071829063
2_T1,0.8324277876509543,0.8881717947785748,0.956779930336712,1.0,0.9567830871344053,0.10002043381205464,0.09646881171233315,0.09216557713989955,0.09064024011626733,0.09575148452094297,-0.17910636021894588,-0.20868571452030052,-0.24187283359688044,-0.2592451108834143,-0.23730425909401073,-0.08898305763234782,-0.10204334832123982,-0.11819703763835233,-0.1295575328388663,-0.12583231951138263,-0.20188244773038982,-0.22115749055260722,-0.2433030325920383,-0.2537158323178597,-0.24190436678149488,0.012081016317412367,0.012507372065544281,0.010735483359938222,0.009365453654701324,0.01578255725367764,-0.0950798799972544,-0.09138667470612268,-0.08840408856804902,-0.0879629672370998,-0.08775264321439266,-0.009128546065256279,-0.0061400451621320745,-0.004328908495996568,-0.0019790969385011167,0.005716283016252095,-0.021505078274151806,-0.03293862248963134,-0.04627032701438887,-0.04996129394580563,-0.03977046235312407,-0.1373060800867758,-0.14756939252997875,-0.16111920150393935,-0.1697375604476967,-0.16643277638288273,-0.018866793031675298,-0.02869071203175486,-0.03927744977271366,-0.047422724514154385,-0.049345559440422494,-0.08278726602298446,-0.09149272830875403,-0.10373097321580388,-0.11511265874028331,-0.11488799726636202,0.07864828760114367,0.07441860058977323,0.06874796118467914,0.06322986832887406,0.05899658959722148,-0.03602053443974743,-0.03484906229659572,-0.03517285881463453,-0.03662522978000393,-0.03501504989353326,-0.01056232938254405,-0.013816336466915807,-0.02173005565912378,-0.030394085873608784,-0.0347098311822277,-0.10957845442816229,-0.10119771251462485,-0.09287492189688783,-0.08456824974888004,-0.07437364438288983
2_T0,0.7902090523166503,0.8324400357631632,0.8881799656464004,0.9567830871344053,1.0,0.1027970640497088,0.09997434973932155,0.09642291536579946,0.09211990083702239,0.0905946609696953,-0.15697591532090646,-0.17921516783579272,-0.2087894905544308,-0.2419709659458213,-0.2593402032151968,-0.07947742967996821,-0.08892784704259735,-0.10198744528416617,-0.11814027684785099,-0.12950021742712936,-0.18801386193653824,-0.20186455165380135,-0.22113803944469954,-0.2432720540230532,-0.2536883951056064,0.011357692348493924,0.012039512610274335,0.012465861293420156,0.010694073342383599,0.00932414506226364,-0.09703502589250554,-0.09494629682252123,-0.0912536049101569,-0.08827146171694802,-0.08780871760322395,-0.011698772114012239,-0.009193187619048226,-0.006204855588117877,-0.004393805876785105,-0.002044080545890966,-0.015033058232731236,-0.021507877112916633,-0.032944696972581296,-0.04627176900405148,-0.049989519459479784,-0.13174847531820164,-0.13731114685441836,-0.14757407973392644,-0.1611233873993224,-0.1697414296985791,-0.010084573803320932,-0.018919989795996617,-0.028743774839305857,-0.03933161316545388,-0.047469544940630416,-0.07535680521035887,-0.08283950172531096,-0.0915444455603314,-0.10378196391032248,-0.11516293100595502,0.08154470860694205,0.0785037889830828,0.07427479395216882,0.06860507991255094,0.06308799025642474,-0.03734382841072982,-0.03599787013382974,-0.034826449992498724,-0.03515024074585645,-0.036602568398843266,-0.01225093503717326,-0.01055486296622758,-0.013808725727254266,-0.02172210013212407,-0.030385733548027417,-0.11492066038535736,-0.10954131444387293,-0.10116100928072441,-0.09283864661321431,-0.08453251933217665
3_T4,0.09077703543751789,0.09225695876896896,0.09651471778339868,0.10002043381205464,0.1027970640497088,1.0,0.9752278467297903,0.9450724264292577,0.9208224521376518,0.8982488166932299,-0.062034242224911974,-0.05795912977896942,-0.053073661188512034,-0.0486938416127194,-0.0448168586179086,-0.1993966354396388,-0.1984833983975431,-0.19698821388384766,-0.19547560523847723,-0.19401624535780018,-0.07153561756751359,-0.07148687311435145,-0.07064209498737162,-0.06951937162953079,-0.06895750468058358,0.06029617569859547,0.058674368359426424,0.056322404054995646,0.05455494363250989,0.052839327512817114,-0.16765368552257554,-0.16687277662905708,-0.16625756081912466,-0.16516892103069927,-0.16398026048861492,0.08260246730543896,0.08071843181492871,0.0780647781078074,0.07490253947645438,0.07151893587138958,-0.18400001594721033,-0.1822916736161816,-0.17937152415959498,-0.17584135227370656,-0.17184706883345885,-0.10752922264963267,-0.10640819771809622,-0.10504444134413869,-0.10390228611156467,-0.10290900888978355,0.03986547339682902,0.03753709021671462,0.03599761306767488,0.03472670052569668,0.03430122511610278,-0.033091386600473165,-0.033081807114868404,-0.03296158323561478,-0.032799191598543366,-0.03138005182656581,0.048149697908385414,0.04808434521955328,0.04945303632732128,0.05164917564447558,0.05409978078894929,-0.1275618119335359,-0.12635853024965607,-0.12604481289822697,-0.126088624413289,-0.1263916015057352,-0.06737369519267211,-0.065638460383151,-0.06279412706726815,-0.06036113647196707,-0.05783297971636169,-0.07637126672699916,-0.07719575856558036,-0.07838218504233269,-0.08013430972408377,-0.08269908674551188
3_T3,0.09588906581551014,0.0907314273470304,0.09221126311616375,0.09646881171233315,0.09997434973932155,0.9752278467297903,1.0,0.9752284238863651,0.9450737061224166,0.9208242969763368,-0.06194285938690509,-0.061946820255303396,-0.057872274201813255,-0.05298750203378495,-0.04860830457252273,-0.19857264985259257,-0.1994193146297562,-0.1985061025810382,-0.1970109624551249,-0.19549840193952184,-0.07068465013674881,-0.0715405829611324,-0.07149229550482286,-0.0706531005742187,-0.06952839551798584,0.06035685738966834,0.06031787436513791,0.05869610533492818,0.05634419731230388,0.0545767827519764,-0.16891367142392041,-0.16770308553257057,-0.16692226295063098,-0.16630712003379727,-0.16522373178938393,0.08443528986009106,0.08263588099077698,0.08075192501967007,0.078098385841166,0.07493628445301989,-0.18299822415990352,-0.18399582275741927,-0.18228535796981343,-0.17936764718570342,-0.17582101231112385,-0.1075448915704385,-0.10752212289259769,-0.10640111150470384,-0.10503737160743017,-0.10389522881919536,0.041686976774357426,0.03989485471476558,0.037566779109343175,0.03602830320856455,0.034753621754083946,-0.03220020254463932,-0.03305791606050023,-0.033048320296565875,-0.0329281091878806,-0.03276572410546259,0.04915437375262076,0.048218250096035045,0.04815290497421664,0.04952140655424008,0.051717246725656627,-0.1271050339773745,-0.12757192898169106,-0.1263686593219368,-0.12605494455043684,-0.12609875503976367,-0.0677889685545212,-0.06737675971662302,-0.06564153529881091,-0.06279724037158421,-0.06036428384389389,-0.07646300498071701,-0.07638894728840591,-0.07721346975353753,-0.0783998612358099,-0.08015194603837783
3_T2,0.10125665407049515,0.09584319566915772,0.0906858289076587,0.09216557713989955,0.09642291536579946,0.9450724264292577,0.9752284238863651,1.0,0.9752290009501868,0.9450749856098233,-0.06077771357185859,-0.061855456360289135,-0.06185943429893747,-0.057785454375898306,-0.05290137828120224,-0.19637017754623667,-0.19859535076096507,-0.19944198992169468,-0.1985288028606703,-0.19703370711451382,-0.06998374783611862,-0.07068963737237072,-0.07154599789879056,-0.07150329038567536,-0.07066210871965019,0.05941453942394553,0.06037854881042979,0.060339569553860786,0.058717838825159914,0.0563659870749412,-0.17031274595689197,-0.168962927619252,-0.1677524702389287,-0.16697173392539819,-0.16636174299685702,0.08536616068198837,0.08446863265794548,0.08266928817187218,0.08078541170119997,0.078131987027082,-0.18116916878764078,-0.18299404016160814,-0.1839894916127165,-0.1822814463660662,-0.1793472464298526,-0.10661334302253364,-0.10753779681306773,-0.10751502413525336,-0.10639402628934574,-0.10503030286643769,0.04340069335214121,0.04171629468615497,0.039924467275608846,0.03759741049406676,0.03605517855902459,-0.030867464643869108,-0.0321667723640792,-0.03302445162320214,-0.03301483958773529,-0.032894641247116586,0.05086936365531736,0.049222762201593266,0.048286777018539805,0.04822143945572764,0.04958975160027925,-0.12621797322012568,-0.1271151533698232,-0.12758204458657804,-0.12637878694866425,-0.12606507475659207,-0.06724921944927258,-0.06779201272743741,-0.06737982374360302,-0.06564460971524816,-0.06280035316970163,-0.07761999211088573,-0.07648073293704229,-0.07640662415390433,-0.07723117723706815,-0.07841753373259203
3_T1,0.10382619119209092,0.1012105232017771,0.09579733523869348,0.09064024011626733,0.09211990083702239,0.9208224521376518,0.9450737061224166,0.9752290009501868,1.0,0.9752295779212212,-0.05891834227344363,-0.06069048095480479,-0.06176808935302971,-0.061772084329775705,-0.05769867027537675,-0.19390279937874844,-0.19639294027351908,-0.1986180477660418,-0.1994646613164512,-0.1985514992374228,-0.06857661948690566,-0.06998874329748019,-0.07069507417740648,-0.07155698497431676,-0.07151228911170777,0.05888228058671672,0.05943625242463156,0.060400236753532115,0.06036126126559198,0.058739568830954964,-0.17137563230177302,-0.17036184600577695,-0.16901216856016077,-0.16780183964981846,-0.16702624482337824,0.08564479405962337,0.08539947080472834,0.08450196896277687,0.08270268885064541,0.08081889186143315,-0.17925909023592138,-0.18116501013322583,-0.1829877185687622,-0.18398556465413102,-0.18226099646778887,-0.1051687506679547,-0.10660626308082044,-0.10753070305495942,-0.10750792637739394,-0.10638694207180631,0.044544880905403525,0.04342995357508739,0.04174584319908733,0.039955019210114476,0.03762423602487076,-0.029196340821899223,-0.030834094465123876,-0.03213334828056922,-0.032990993286896045,-0.03298136498669743,0.05302794265353785,0.05093749834445153,0.04929112545127816,0.04835527869225113,0.048289948680441126,-0.12543516522755976,-0.12622810603206538,-0.12712527131818432,-0.12759215874847846,-0.12638891313015954,-0.06553310495220922,-0.06725227044117463,-0.06779505640664642,-0.06738288727373441,-0.06564768363258626,-0.07985150206829716,-0.07763769324406214,-0.07649845718518741,-0.0764242973246604,-0.07724888101732681
3_T0,0.10546433246021998,0.10377993333934993,0.10116440210853506,0.09575148452094297,0.0905946609696953,0.8982488166932299,0.9208242969763368,0.9450749856098233,0.9752295779212212,1.0,-0.05762368249391166,-0.0588313870277161,-0.060603284275473915,-0.061680758339083694,-0.06168477032180856,-0.1910251734046363,-0.19392563206829472,-0.19641569908658577,-0.19864074086880124,-0.1994873288150385,-0.06670887889018835,-0.06858163144699901,-0.06999418836217909,-0.07070608410068993,-0.07156597602730567,0.05849142574909345,0.058904005532412824,0.059457961943917656,0.06042192121981128,0.060382949501174496,-0.17239811667142851,-0.1714246070187062,-0.17041093086266867,-0.16906139425481023,-0.16785622361659652,0.0855938019432205,0.08567809900231761,0.0854327744398062,0.08453529877649155,0.08273608302904277,-0.17739382631534653,-0.17925495822510734,-0.1811587145917987,-0.1829838007659353,-0.18396509155636157,-0.10366873691436797,-0.10516169124873477,-0.10659918413621955,-0.10752361029589902,-0.10750082961881098,0.045930681907593945,0.0445741011242467,0.04345944382687319,0.04177632844069865,0.039981777241243174,-0.02750679136444884,-0.02916304140343345,-0.030800730371969603,-0.03209993029243659,-0.03295754104990645,0.05500168121282751,0.05309576542657052,0.05100560795088132,0.04935946351797645,0.04842375513349981,-0.12480016777224161,-0.12544530959200348,-0.1262382373978275,-0.12713538782277017,-0.12760227146771613,-0.0638459814189988,-0.06553617911016507,-0.06725532093808681,-0.06779809959227688,-0.06738595030713367,-0.08265828140492291,-0.07986915464356191,-0.07765539067459952,-0.07651617772631139,-0.07644196680183488
