,27_T4,27_T3,27_T2,27_T1,27_T0,28_T4,28_T3,28_T2,28_T1,28_T0,29_T4,29_T3,29_T2,29_T1,29_T0,30_T4,30_T3,30_T2,30_T1,30_T0,31_T4,31_T3,31_T2,31_T1,31_T0,32_T4,32_T3,32_T2,32_T1,32_T0,33_T4,33_T3,33_T2,33_T1,33_T0
27_T4,1.0,0.9238570290096063,0.8067120662972096,,,-0.4283749368453222,-0.39570133790983597,-0.3754191951660889,,,-0.010270096844502042,-0.012711913489838935,-0.02794969279955792,,,-0.056193106414411054,-0.05955138438740465,-0.03924723665356209,,,0.03897614419750077,0.013542730520873575,0.0033142419207697785,,,-0.0076300300022009975,-0.03012490078607083,-0.028106794018755144,,,0.0917556926856269,0.09485662841977588,0.07601391000953572,,
27_T3,0.9238570290096063,1.0,0.9238570290096063,0.8067120662972096,,-0.3853879189518324,-0.4283749368453222,-0.39570133790983597,-0.3754191951660889,,0.008904143869342952,-0.010270096844502042,-0.012711913489838935,-0.02794969279955792,,-0.012078837478267325,-0.056193106414411054,-0.05955138438740465,-0.03924723665356209,,0.04151861373245645,0.03897614419750077,0.013542730520873575,0.0033142419207697785,,-0.007503772250965118,-0.0076300300022009975,-0.03012490078607083,-0.028106794018755144,,0.13184247106263938,0.0917556926856269,0.09485662841977588,0.07601391000953572,
27_T2,0.8067120662972096,0.9238570290096063,1.0,0.9238569067836704,0.8066886814387252,-0.3206049611939552,-0.3853879189518324,-0.4282718381343003,-0.395473761683431,-0.37542570393034636,0.03179403862420442,0.008904143869342952,-0.01024294758336306,-0.012694201834018034,-0.028007496960754434,0.002907660221429533,-0.012078837478267325,-0.05624315667416071,-0.05954131144397527,-0.039047410700166936,0.037249812394171807,0.04151861373245645,0.03898891102392616,0.013528476471554952,0.003324716033624679,-0.012052934933328378,-0.007503772250965118,-0.007555863890309238,-0.030144006352660152,-0.028126998881477423,0.15090340227983015,0.13184247106263938,0.09165815228083378,0.09481603773724322,0.07604159812681308
27_T1,,0.8067120662972096,0.9238569067836704,1.0,0.9238412869358936,,-0.3206049611939552,-0.3852936403558509,-0.4281616772331069,-0.3954779983719532,,0.03179403862420442,0.00891126104999758,-0.010258976490447089,-0.012758445480116103,,0.002907660221429533,-0.012092412567423813,-0.056151953550681075,-0.059374255883508434,,0.037249812394171807,0.04152661136287783,0.03899085881193773,0.013543563645894794,,-0.012052934933328378,-0.007452573604321384,-0.007551935680951038,-0.030194903651967756,,0.15090340227983015,0.13175762418617692,0.09166907588385494,0.09484303072255061
27_T0,,,0.8066886814387252,0.9238412869358936,1.0,,,-0.3202766182925788,-0.38502566170640873,-0.42816040240809883,,,0.03188578925885978,0.008942181359449106,-0.010259323508620069,,,0.0025376132840353722,-0.012175743924449705,-0.056126799152628096,,,0.037265689947005534,0.04149840402233928,0.03898412338613837,,,-0.011833658131447097,-0.007492534698737394,-0.007533097355688351,,,0.15056156369479434,0.13170268259629578,0.09166796767460077
28_T4,-0.4283749368453222,-0.3853879189518324,-0.3206049611939552,,,1.0,0.9203743754068396,0.8585915642732688,,,0.0024268785044459762,0.005143955069876932,0.02230172259813018,,,-0.24074578470294702,-0.2002966033900087,-0.18054186434590253,,,-0.18230526116500056,-0.1597097797704357,-0.1258249160821217,,,-0.20522826917669726,-0.15747099596850128,-0.10103056681834156,,,-0.07427113082954344,-0.06147106964285801,-0.017602907449702537,,
28_T3,-0.39570133790983597,-0.4283749368453222,-0.3853879189518324,-0.3206049611939552,,0.9203743754068396,1.0,0.9203743754068396,0.8585915642732688,,-0.01881723633781192,0.0024268785044459762,0.005143955069876932,0.02230172259813018,,-0.2421513701652461,-0.24074578470294702,-0.2002966033900087,-0.18054186434590253,,-0.18063935140011408,-0.18230526116500056,-0.1597097797704357,-0.1258249160821217,,-0.17362197988156927,-0.20522826917669726,-0.15747099596850128,-0.10103056681834156,,-0.09707864247804189,-0.07427113082954344,-0.06147106964285801,-0.017602907449702537,
28_T2,-0.3754191951660889,-0.39570133790983597,-0.4282718381343003,-0.3852936403558509,-0.3202766182925788,0.8585915642732688,0.9203743754068396,1.0,0.9203760717200862,0.8582814353701371,-0.014683625282160342,-0.01881723633781192,0.002614072443400783,0.005427359385471789,0.02317166380915152,-0.20490211583146264,-0.2421513701652461,-0.24124118071084472,-0.20100626189294332,-0.18197917039305087,-0.18734417548831434,-0.18063935140011408,-0.1822037722293405,-0.1597889039536394,-0.12609575413099394,-0.15861175664020824,-0.17362197988156927,-0.2047794737196982,-0.15760199298873961,-0.09971657731962554,-0.07069364646861107,-0.09707864247804189,-0.07468845279304588,-0.06184378710688369,-0.018056095240214634
28_T1,,-0.3754191951660889,-0.395473761683431,-0.4281616772331069,-0.38502566170640873,,0.8585915642732688,0.9203760717200862,1.0,0.9199726368019303,,-0.014683625282160342,-0.01838102561615529,0.0029211544401012575,0.006029879817515706,,-0.20490211583146264,-0.2433809208138962,-0.24196243304035206,-0.20193142028882333,,-0.18734417548831434,-0.1803974076433972,-0.18228503482633024,-0.15990315908212008,,-0.15861175664020824,-0.17266989156651624,-0.2049181339702886,-0.15663234585614655,,-0.07069364646861107,-0.09796709683990117,-0.07503609866926472,-0.062095133384193216
28_T0,,,-0.37542570393034636,-0.3954779983719532,-0.42816040240809883,,,0.8582814353701371,0.9199726368019303,1.0,,,-0.014579760024460951,-0.018347562667927295,0.0029637352939734843,,,-0.20466692936506103,-0.24324699796464677,-0.24194148740390342,,,-0.18732321574722044,-0.1804148516398919,-0.18230351243999138,,,-0.15833093004332527,-0.17269365913988738,-0.2048143890325868,,,-0.07083323631389724,-0.09798930883020289,-0.07505101871938741
