,34_T4,34_T3,34_T2,34_T1,34_T0,35_T4,35_T3,35_T2,35_T1,35_T0,36_T4,36_T3,36_T2,36_T1,36_T0,37_T4,37_T3,37_T2,37_T1,37_T0,38_T4,38_T3,38_T2,38_T1,38_T0
34_T4,1.0,0.9900083368270562,0.9755171956059449,0.9611360593122423,0.949090858663898,-0.15165325723585177,-0.1550872527956188,-0.15728618759169355,-0.1595626847394798,-0.1590742992559561,-0.28514873880979386,-0.2842395440594844,-0.28069798489572384,-0.2778697197676593,-0.2783095989810417,-0.3117172079088729,-0.30889175739889474,-0.30466967131652717,-0.2988894117850784,-0.29013796177649964,-0.2427259388687944,-0.2397953197189249,-0.23771979605195384,-0.23738065363971608,-0.23681358077878933
34_T3,0.9900083368270562,1.0,0.9900150405140717,0.9755362841405307,0.9611722224021733,-0.1442317979747299,-0.15157830355761137,-0.15500276308219155,-0.1571890353375791,-0.15944723737344457,-0.28269175796985996,-0.2854097847558027,-0.28453783015492257,-0.28104668873274263,-0.2782869368338225,-0.3098937893946559,-0.3116720331767803,-0.3088298718484914,-0.30469778559885774,-0.29892913054900055,-0.2416053256294946,-0.24221361383795822,-0.23921350043178627,-0.23704662860911438,-0.2365781916504651
34_T2,0.9755171956059449,0.9900150405140717,1.0,0.9900217325879301,0.9755553342110581,-0.1349504320716323,-0.14414908758657138,-0.15150343294163565,-0.15491838016288875,-0.15709202567732944,-0.27714609462528733,-0.2829922671801988,-0.2856705320214534,-0.284835727267124,-0.2813948640716537,-0.3074803436159443,-0.30984165726443824,-0.3116155984512081,-0.3088505602634881,-0.30472590637392,-0.23895603918421338,-0.24101823035278147,-0.24170191560286142,-0.23863249125299363,-0.2363745481880114
34_T1,0.9611360593122423,0.9755362841405307,0.9900217325879301,1.0,0.9900284130787524,-0.12628429536709138,-0.13485604141482427,-0.14406648240940764,-0.15142864523398936,-0.15483410381261634,-0.2726491658410341,-0.27750180977530026,-0.28329238191219014,-0.28593098114181775,-0.2851332361892061,-0.3024454794326353,-0.30741851775526924,-0.3097766656465026,-0.3116315778972266,-0.30887125813299693,-0.23499889390487538,-0.23826995260366945,-0.24043195908633594,-0.24119084297749208,-0.23805229043986567
34_T0,0.949090858663898,0.9611722224021733,0.9755553342110581,0.9900284130787524,1.0,-0.11615222673907724,-0.1261721119976827,-0.1347617911942542,-0.14398398221921152,-0.15135394028114108,-0.27243528200141837,-0.2730814428935107,-0.27785697683880534,-0.28359210297716575,-0.2861911326506152,-0.2948977280891591,-0.3023703753070738,-0.30734171625626505,-0.30979448346712796,-0.3116475672152013,-0.2312357528368559,-0.23417348240056327,-0.23758499470077615,-0.23984651004029944,-0.24068039477893993
35_T4,-0.15165325723585177,-0.1442317979747299,-0.1349504320716323,-0.12628429536709138,-0.11615222673907724,1.0,0.962672844327644,0.9110413551082149,0.8660582349707953,0.8270774989740308,-0.044723610721927876,-0.04232243870347434,-0.03618334908674843,-0.027961568000878338,-0.019786246281986733,-0.1629529158245552,-0.15779374230312385,-0.1542456284132399,-0.1536188262102754,-0.15062734154329563,-0.07343176833511333,-0.06888605044831586,-0.06426349003170187,-0.057634753223058645,-0.05379593338154057
35_T3,-0.1550872527956188,-0.15157830355761137,-0.14414908758657138,-0.13485604141482427,-0.1261721119976827,0.962672844327644,1.0,0.962672903911909,0.9110415123243754,0.8660585142506394,-0.04342334276579982,-0.0447374398772392,-0.04233801741314181,-0.036203054166358356,-0.027988047486225114,-0.1575751520297314,-0.16295488316951195,-0.1577954658376839,-0.15425086676731461,-0.1536255413506895,-0.07669681755392838,-0.07340070535993677,-0.06885185469363544,-0.0642239565504252,-0.05758743852565636
35_T2,-0.15728618759169355,-0.15500276308219155,-0.15150343294163565,-0.14406648240940764,-0.1347617911942542,0.9110413551082149,0.962672903911909,1.0,0.962672963472741,0.9110416694682074,-0.03999337812632475,-0.04343818442295405,-0.04475126155314342,-0.042353586448625066,-0.03622274470427133,-0.14835071808607603,-0.1575772708421618,-0.1629563925481625,-0.15779975302736798,-0.1542561025938024,-0.08180874562625338,-0.07666205874249485,-0.07336966320970018,-0.06881768513221659,-0.0641844582317193
35_T1,-0.1595626847394798,-0.1571890353375791,-0.15491838016288875,-0.15142864523398936,-0.14398398221921152,0.8660582349707953,0.9110415123243754,0.962672963472741,1.0,0.9626730230100422,-0.03795836867978552,-0.040010281249674415,-0.043453016934364624,-0.04476507575626744,-0.04236914581977186,-0.14240060302789426,-0.14835307833281622,-0.15757889688143303,-0.16296020994524107,-0.15780403844768348,-0.08445340835626985,-0.0817684223407357,-0.07662732666804212,-0.07333864186175186,-0.06878354173148987
35_T0,-0.1590742992559561,-0.15944723737344457,-0.15709202567732944,-0.15483410381261634,-0.15135394028114108,0.8270774989740308,0.8660585142506394,0.9110416694682074,0.9626730230100422,1.0,-0.037468844419477725,-0.037978440199760675,-0.04002717215536853,-0.04346784030926629,-0.044778882493237825,-0.13620327561148027,-0.1424033310203838,-0.14835488480550615,-0.15758299206374052,-0.16296402596530402,-0.08792060867467555,-0.08440520333631009,-0.08172813533472308,-0.07659262129725297,-0.07330764129348191
36_T4,-0.28514873880979386,-0.28269175796985996,-0.27714609462528733,-0.2726491658410341,-0.27243528200141837,-0.044723610721927876,-0.04342334276579982,-0.03999337812632475,-0.03795836867978552,-0.037468844419477725,1.0,0.9828483885866437,0.9615543566156947,0.9434141456633567,0.9279817626642057,-0.05911503172809471,-0.061522901388025734,-0.06151531081032862,-0.05787682620991057,-0.05343219727096563,0.12240839158062808,0.12408678204616534,0.12658189971199174,0.13083031902047695,0.1351747667495308
