,21_T4,21_T3,21_T2,21_T1,21_T0,22_T4,22_T3,22_T2,22_T1,22_T0,23_T4,23_T3,23_T2,23_T1,23_T0,24_T4,24_T3,24_T2,24_T1,24_T0,25_T4,25_T3,25_T2,25_T1,25_T0,26_T4,26_T3,26_T2,26_T1,26_T0,83_T4,83_T3,83_T2,83_T1,83_T0
21_T4,1.0,0.9898363061203135,0.985986991675375,0.9832767721433582,0.980587348129804,-0.19965675096167507,-0.199496255151724,-0.1994145995287049,-0.19857393232617446,-0.19757888380879027,0.24721768104210504,0.24896553670227856,0.25059965262668593,0.251285271217333,0.2508376322657933,-0.011762714762817247,-0.011743623396754652,-0.011217417414722118,-0.010598050850631431,-0.010275585565952337,0.3084396826140229,0.3076629965207202,0.3064839140076533,0.30540563065152176,0.30308971840686144,0.030829516708092877,0.0303130014987199,0.029751493992908048,0.029077067198191742,0.028610185563696315,0.3977907859472226,0.3961489263312391,0.39515573859317193,0.3954417878929824,0.39530091328658845
21_T3,0.9898363061203135,1.0,0.9898369156912992,0.9859878899665875,0.9832779251922273,-0.19951830006063884,-0.19962533150383482,-0.19947648560421496,-0.19939391071880694,-0.19855224262840207,0.248361503126364,0.2473020655531779,0.24905507540233063,0.25069493961432926,0.2513875442442648,-0.012234853223630715,-0.011688872525033768,-0.011664867847731976,-0.011133271799460066,-0.010507621845153676,0.3121670089247527,0.3083940245721359,0.3076123562811137,0.30642503390943593,0.3053519560559179,0.03128275301188781,0.030921535596978782,0.03041126612755806,0.02985679429163292,0.029190668117960266,0.3982142861866006,0.39784152252083965,0.39620887083881057,0.39521978317831724,0.39551046989811267
21_T2,0.985986991675375,0.9898369156912992,1.0,0.9898375250777844,0.9859887879667376,-0.19904616012518178,-0.19948429846078414,-0.19960645785479691,-0.199456721075072,-0.19937322752948525,0.249306996396916,0.24845148389236738,0.24738641010428739,0.24914456894251322,0.2507901752245246,-0.012267210156927113,-0.01215608990097182,-0.011615054076016427,-0.011586139370436833,-0.011049157151157533,0.31482952339471143,0.3121173266490359,0.30834599023220866,0.3075565872304371,0.3063743479913863,0.03205269409894405,0.03138063278571362,0.031013518765095737,0.030509490019147344,0.029962047774929387,0.3990136414032648,0.39826868108586916,0.39789765403448285,0.3962687868404048,0.3952837952133988
21_T1,0.9832767721433582,0.9859878899665875,0.9898375250777844,1.0,0.9898381342798112,-0.19827324411078767,-0.19900916166441215,-0.19946374894218627,-0.19958758869851373,-0.1994369615623516,0.2493661599121425,0.24940343458195754,0.24854141911991995,0.24747071472690213,0.2492340173607176,-0.011934145791154673,-0.012182858471880758,-0.012077353638426193,-0.011541259404196634,-0.01150743795081088,0.3176793866814696,0.3147752616607858,0.3120650906486198,0.3082931272307123,0.3075085106952643,0.03262837939107793,0.03215723187719317,0.03147847210697112,0.031105466234007256,0.030607673199758753,0.3996575369318439,0.3990722003896719,0.39832872317809404,0.39795376049891457,0.3963286743571879
21_T0,0.980587348129804,0.9832779251922273,0.9859887879667376,0.9898381342798112,1.0,-0.19808443649653984,-0.19823282588787214,-0.19898665631576573,-0.1994432046417535,-0.19956872403338,0.24832593664756503,0.24947011293047708,0.24949982037581397,0.24863130884739676,0.24755497945245986,-0.011582106174211538,-0.011843332966879831,-0.01209853782567816,-0.011998644421959217,-0.011467488497999882,0.3208772237989007,0.31761974267068815,0.31471824587744845,0.3120076638220523,0.30824750482273466,0.03327696065195388,0.032740592249939166,0.03226172346527476,0.03157627100163877,0.03119737802525024,0.401546530873219,0.3997208950121462,0.39913668316922135,0.3983887365803373,0.3980098419315961
22_T4,-0.19965675096167507,-0.19951830006063884,-0.19904616012518178,-0.19827324411078767,-0.19808443649653984,1.0,0.9972445017714003,0.9931629025370041,0.9884370971268456,0.983395844369692,-0.23305051631038326,-0.22928472488754828,-0.2251130799316611,-0.22157049542837737,-0.21883230122301608,-0.027547996704016017,-0.026112565513903844,-0.02480621762297534,-0.023628990926559897,-0.02282155208632997,-0.33537613266482336,-0.33663518245596,-0.3356033502619901,-0.3338795943454084,-0.33232304278800123,-0.3027468395581935,-0.3016403901546396,-0.2995825955383942,-0.2969357911575699,-0.2943466784150437,-0.0708052004521631,-0.07134424437258165,-0.07228369289838378,-0.07289240937183075,-0.07403194947461327
22_T3,-0.199496255151724,-0.19962533150383482,-0.19948429846078414,-0.19900916166441215,-0.19823282588787214,0.9972445017714003,1.0,0.9972430479686751,0.9931611652847345,0.9884350145528809,-0.23241894510024408,-0.2329606183596288,-0.2291884014910381,-0.22500942057247886,-0.22145830275342407,-0.026886148186667083,-0.027514511944581294,-0.02607630198542351,-0.02476675612064117,-0.023585873129522934,-0.33044302600905406,-0.33538575980538093,-0.33664604334144127,-0.3356161921066983,-0.3338917318972643,-0.30043312779374554,-0.30267885542834666,-0.3015669844905569,-0.2995029925807735,-0.29684909668301684,-0.06801421503215188,-0.07076551574852198,-0.07129228732613418,-0.07222731592748165,-0.07283107708813405
22_T2,-0.1994145995287049,-0.19947648560421496,-0.19960645785479691,-0.19946374894218627,-0.19898665631576573,0.9931629025370041,0.9972430479686751,1.0,0.9972430524899452,0.9931611677181569,-0.2317921386322671,-0.23235274578439302,-0.23289808340454926,-0.22912137728565896,-0.22493726681045764,-0.026868359075408417,-0.02686725846895702,-0.027496376513859958,-0.02605648772927388,-0.024744985280150497,-0.324079039338225,-0.33044707534555173,-0.33538968425018384,-0.33665048131568936,-0.33562104612822463,-0.2979179905359879,-0.30038406955327585,-0.30263199944424996,-0.301516262582363,-0.2994478548847388,-0.06423780120590578,-0.06799353717514565,-0.07074096423045476,-0.07126553227928176,-0.07219797674749374
22_T1,-0.19857393232617446,-0.19939391071880694,-0.199456721075072,-0.19958758869851373,-0.1994432046417535,0.9884370971268456,0.9931611652847345,0.9972430524899452,1.0,0.9972430570104659,-0.23250601621587313,-0.23172198161013652,-0.23228658421948076,-0.23283558169385976,-0.2290543909693863,-0.026896719681517522,-0.026848672898922704,-0.026848374227322495,-0.0274782460150054,-0.026036679224395738,-0.31656555211072424,-0.32408325693660167,-0.33045115945021153,-0.3353936269331808,-0.33665479679376564,-0.29503925876383535,-0.2978665971475873,-0.30033503097281805,-0.30258516109452116,-0.3014655610478535,-0.06034051777709739,-0.06421630276540269,-0.0679679044697882,-0.0707164238230256,-0.07123879009589017
22_T0,-0.19757888380879027,-0.19855224262840207,-0.19937322752948525,-0.1994369615623516,-0.19956872403338,0.983395844369692,0.9884350145528809,0.9931611677181569,0.9972430570104659,1.0,-0.23482228475049868,-0.23243139827420722,-0.23165186767819795,-0.2322204603693607,-0.23277311319787317,-0.026767650954342675,-0.026876181232802547,-0.0268289928318291,-0.02682949545925193,-0.027460120445890992,-0.3088217334810458,-0.3165699370449844,-0.3240874977436263,-0.33045523792346576,-0.3353975044637514,-0.293385740857386,-0.2949853303702149,-0.2978152257774874,-0.3002860120396372,-0.3025383403684431,-0.056958143301035255,-0.06031819412892705,-0.064189696191722,-0.06794228423770153,-0.07069189451800155
23_T4,0.24721768104210504,0.248361503126364,0.249306996396916,0.2493661599121425,0.24832593664756503,-0.23305051631038326,-0.23241894510024408,-0.2317921386322671,-0.23250601621587313,-0.23482228475049868,1.0,0.9975784341931445,0.9945435252342044,0.992033824520398,0.9897768680801597,-0.10464282222924433,-0.1048075162983225,-0.10485960201623191,-0.10517176204090833,-0.10571938774368841,0.13305755630466176,0.13442583095327704,0.1361782588454237,0.1385470941948761,0.14311727606732236,-0.03756589343605146,-0.037923753736371434,-0.0377319160865268,-0.0377986931035381,-0.037698579913383025,-0.004489367728683349,-0.0018620269500461478,0.0011575970323539073,0.003259548218775542,0.00458022866345686
23_T3,0.24896553670227856,0.2473020655531779,0.24845148389236738,0.24940343458195754,0.24947011293047708,-0.22928472488754828,-0.2329606183596288,-0.23235274578439302,-0.23172198161013652,-0.23243139827420722,0.9975784341931445,1.0,0.9975791685112386,0.9945452991034687,0.9920366146070472,-0.10417391099316302,-0.10445911434780591,-0.10461074889252095,-0.1046481812697438,-0.1049438366053174,0.13028544769181288,0.13296127954666195,0.13431857248461984,0.13605324785508766,0.13843082111444033,-0.0381060691399757,-0.03734325270925934,-0.03768509886446965,-0.03747511539976342,-0.03752124752263438,-0.0055809589760311374,-0.004274223214154899,-0.0015906437570532015,0.0014470760766526506,0.003569612466702453
23_T2,0.25059965262668593,0.24905507540233063,0.24738641010428739,0.24854141911991995,0.24949982037581397,-0.2251130799316611,-0.2291884014910381,-0.23289808340454926,-0.23228658421948076,-0.23165186767819795,0.9945435252342044,0.9975791685112386,1.0,0.9975799022499815,0.9945470714726721,-0.10371379704296478,-0.10397820861451543,-0.10427550840459271,-0.10441409834685281,-0.10443689542868752,0.12709816798593587,0.13018162201314867,0.13286038212541618,0.13420136448166975,0.1359443942368845,-0.038728769161093406,-0.037869074695833754,-0.03712074944611298,-0.03744660172689717,-0.03721849717544254,-0.0056793029176313275,-0.005349171254773436,-0.004019183299437007,-0.0013194775327540508,0.001736307142274474
23_T1,0.251285271217333,0.25069493961432926,0.24914456894251322,0.24747071472690213,0.24863130884739676,-0.22157049542837737,-0.22500942057247886,-0.22912137728565896,-0.23283558169385976,-0.2322204603693607,0.992033824520398,0.9945452991034687,0.9975799022499815,1.0,0.9975806354101897,-0.10294765044001725,-0.10350449625679853,-0.10378262201962724,-0.10409200430985206,-0.10421756455117294,0.12325931246116241,0.126985816702911,0.13007285910257227,0.13275017168787265,0.13409921051881646,-0.03958436728654531,-0.038475498273433516,-0.03763223611422282,-0.03689838351684145,-0.03720826216424195,-0.005553488882802468,-0.005428732081187516,-0.0050746995151559286,-0.0037643343400214488,-0.0010485280131037127
23_T0,0.2508376322657933,0.2513875442442648,0.2507901752245246,0.2492340173607176,0.24755497945245986,-0.21883230122301608,-0.22145830275342407,-0.22493726681045764,-0.2290543909693863,-0.23277311319787317,0.9897768680801597,0.9920366146070472,0.9945470714726721,0.9975806354101897,1.0,-0.1011720329923342,-0.1027225973178472,-0.10329532803299858,-0.10358715109980443,-0.10390860197392034,0.11890041213103124,0.12313707588447553,0.12686817231897038,0.12995414211395123,0.1326540439630734,-0.03994183398762565,-0.03931230602819782,-0.038222405519993105,-0.0373955532383802,-0.036676154791846036,-0.004896611174644744,-0.005281234950347611,-0.005132326022292535,-0.004800447878131217,-0.003509676118416887
24_T4,-0.011762714762817247,-0.012234853223630715,-0.012267210156927113,-0.011934145791154673,-0.011582106174211538,-0.027547996704016017,-0.026886148186667083,-0.026868359075408417,-0.026896719681517522,-0.026767650954342675,-0.10464282222924433,-0.10417391099316302,-0.10371379704296478,-0.10294765044001725,-0.1011720329923342,1.0,0.9908059371545141,0.9870710192795987,0.9851696191410595,0.9830286083569744,0.20332747861452424,0.2004345171034594,0.19775338803788686,0.19494580250102295,0.19101927372619684,0.253732471159353,0.25369236204197204,0.25336181762674803,0.25319595326739963,0.25278561779578346,-0.01862038368694731,-0.01974726607754099,-0.020666810779970984,-0.021515845027147297,-0.021974922729414977
24_T3,-0.011743623396754652,-0.011688872525033768,-0.01215608990097182,-0.012182858471880758,-0.011843332966879831,-0.026112565513903844,-0.027514511944581294,-0.02686725846895702,-0.026848672898922704,-0.026876181232802547,-0.1048075162983225,-0.10445911434780591,-0.10397820861451543,-0.10350449625679853,-0.1027225973178472,0.9908059371545141,1.0,0.9908068647121712,0.9870724155331655,0.9851713430631519,0.2066949652782601,0.20327194160000125,0.20037306631067547,0.19768206889334755,0.19488067055707517,0.2535534680213439,0.2538235846425573,0.2537896455669216,0.2534661781279802,0.253308560999025,-0.018336898935686144,-0.018512959066991495,-0.01961149705788449,-0.020521929417351405,-0.021360393486875604
