,2_T4,2_T3,2_T2,2_T1,2_T0,3_T4,3_T3,3_T2,3_T1,3_T0,4_T4,4_T3,4_T2,4_T1,4_T0,5_T4,5_T3,5_T2,5_T1,5_T0,6_T4,6_T3,6_T2,6_T1,6_T0,7_T4,7_T3,7_T2,7_T1,7_T0,8_T4,8_T3,8_T2,8_T1,8_T0,9_T4,9_T3,9_T2,9_T1,9_T0,10_T4,10_T3,10_T2,10_T1,10_T0,11_T4,11_T3,11_T2,11_T1,11_T0,12_T4,12_T3,12_T2,12_T1,12_T0,13_T4,13_T3,13_T2,13_T1,13_T0,14_T4,14_T3,14_T2,14_T1,14_T0,16_T4,16_T3,16_T2,16_T1,16_T0,80_T4,80_T3,80_T2,80_T1,80_T0,84_T4,84_T3,84_T2,84_T1,84_T0
2_T4,1.0,0.9919194175396354,0.981464086183481,0.9710558135411376,0.9613167949868434,0.08775765966323594,0.09008305656559211,0.09331702509550553,0.09571454167813591,0.09820477654354368,-0.26132580969494446,-0.259303211455175,-0.25493605381472595,-0.25094256690748523,-0.24739346433683235,-0.1472394134106951,-0.14780600077206135,-0.1473872549328665,-0.14706057233132433,-0.14734871215749026,-0.25910815493555445,-0.2563932593670299,-0.2532585782283494,-0.2500870446364827,-0.247080981057143,-0.031898425089526845,-0.03212873229932586,-0.03082056542384027,-0.02914332793328452,-0.02572938761387499,-0.05803593642084278,-0.0569461538524157,-0.05592073221884956,-0.05519331543630845,-0.05456112089181177,-0.007103777815206334,-0.008000974270894353,-0.009821741320862394,-0.012258408584531637,-0.015475177906672239,-0.017677088710718325,-0.015548498743980153,-0.014335936986195914,-0.013698267288341883,-0.012402183826177577,-0.133662168606469,-0.13176359878036759,-0.13034651885071086,-0.12951848684781736,-0.12920961031532166,-0.09198314550033705,-0.09072675935452638,-0.08739487840824428,-0.0849673213798353,-0.08188042559622137,-0.08915237902318024,-0.09121377397069244,-0.09333441742541157,-0.09550676661643032,-0.09679100888779149,0.039366803951021725,0.037095441923858614,0.034048414699366765,0.030559246670290967,0.027602621391266555,-0.0034618333627822306,-0.00438614962639027,-0.005654144349356421,-0.007841266250651464,-0.009316871895984893,0.005683577837073476,0.006047456429775587,0.006960594413664096,0.00786527372658929,0.00937431772577459,-0.040280312220759826,-0.0398536277127879,-0.039981483793080114,-0.040951826605875666,-0.0427495059119963
2_T3,0.9919194175396354,1.0,0.9919196153655825,0.9814645682776962,0.9710566197000848,0.08500303702056175,0.087748688794923,0.09007345107074487,0.09330666817960806,0.09570329898883874,-0.2601852445588031,-0.26135480285486407,-0.25933421401873574,-0.2549695032533696,-0.250978914359141,-0.14614261876051726,-0.14713983429701075,-0.14772026542438696,-0.14730279516246347,-0.14696926256954057,-0.261837999897803,-0.25904061996042266,-0.25632113114069316,-0.25320686487324817,-0.25003533371530745,-0.03233615749278297,-0.031940715807693344,-0.032174006444005046,-0.03086930699261835,-0.029196145987695838,-0.0570914417037176,-0.057961200979103476,-0.05685754912532748,-0.055811053440334005,-0.05507563850177675,-0.0068655127657582735,-0.007162335159187914,-0.008063270311993422,-0.009888275692680873,-0.012329732608883077,-0.018677967400637065,-0.01767172585817173,-0.015542646526619658,-0.014329472140865615,-0.013691063044296447,-0.13319169341296044,-0.13367037732774295,-0.13177249993244647,-0.1303561945828245,-0.12952907645945322,-0.0955950188728317,-0.09202977577357888,-0.09076057197340438,-0.08743123918811457,-0.08500664250019235,-0.08666216543511861,-0.08919122090360831,-0.09125503111268626,-0.09337848719903286,-0.09555408012167806,0.040243081304170834,0.039263952297394204,0.036986106595221974,0.03393178891791183,0.0304342864081841,-0.002383130566591359,-0.0034801710015805527,-0.004405694937594583,-0.005675087490290849,-0.007863810198433073,0.00589959998879749,0.005683885043425552,0.006048064861005463,0.006978029760307867,0.007925647925206341,-0.03849705962206574,-0.04023615195856423,-0.03980676600846774,-0.03995923737411774,-0.04092816477281234
2_T2,0.981464086183481,0.9919196153655825,1.0,0.991919813145649,0.9814650502523186,0.08329506163756312,0.08499358442103225,0.087739719704434,0.09006384760645644,0.0932963136101894,-0.25811108780397607,-0.2602160990167148,-0.2613837883452206,-0.25936520782956723,-0.25500294256790773,-0.14403903027608597,-0.1460369266806991,-0.14705936629731733,-0.14764167106922052,-0.1472183704146084,-0.2624452567848806,-0.261765723554502,-0.2589731060203501,-0.2562729127845681,-0.2531588440065282,-0.032833260054095204,-0.03238110248983313,-0.031982994781629234,-0.03221926713513543,-0.03091803300692591,-0.05675159388442259,-0.057012037579279154,-0.0578777258770333,-0.056754752012504024,-0.055701440823236935,-0.0056225808676810115,-0.006928028718381863,-0.007220872254959828,-0.008125543379151567,-0.009954783785656533,-0.018784115299457706,-0.018672356140832687,-0.01766636405695598,-0.015536795532946875,-0.014323008744370834,-0.13276367479870377,-0.13320017442707158,-0.1336785844282455,-0.1317813992083608,-0.13036586812800752,-0.0984272701407864,-0.0956443556098716,-0.09206144318569652,-0.09079437566188232,-0.08746758967678132,-0.08445381347665191,-0.08670360746325709,-0.08923005209856417,-0.09129627615082848,-0.09342254312021957,0.04176247672083927,0.04013359596454878,0.03916116212166529,0.036876841120194556,0.033815243060098886,-0.0011874764382328728,-0.0024026497053039474,-0.003498504804656494,-0.0044252358873838405,-0.005696025622460491,0.005827990094815084,0.005900086381816973,0.005684192179223838,0.006064009566670665,0.007033618134729797,-0.03768547965641509,-0.038450244222171276,-0.040192006677205995,-0.03978574655961918,-0.03993699823164248
2_T1,0.9710558135411376,0.9814645682776962,0.991919813145649,1.0,0.9919200108799014,0.08227760069450592,0.08328509389535003,0.08498413381817996,0.08773075239124208,0.09005424617208041,-0.25588110642033113,-0.2581439689387799,-0.2602469447733892,-0.26141276616908427,-0.25939619289141475,-0.14139932979462308,-0.14392690120739585,-0.14595150691673234,-0.14698558923643487,-0.14756310703673778,-0.26271792201645017,-0.26236797087835423,-0.2616934712795528,-0.2589279888148886,-0.25622813927107646,-0.032530012382562756,-0.03288102795590213,-0.032426034176705844,-0.032025262016333635,-0.03226451437886337,-0.056808803337179456,-0.056667035995901394,-0.05692335248078583,-0.057780883832981814,-0.056652012963695694,-0.003978506866376843,-0.0056894440489462135,-0.0069905215403946236,-0.007279389113750561,-0.008187793485960495,-0.019791734698593924,-0.018778283542807507,-0.018666746053755536,-0.01766100330676334,-0.01553094576257656,-0.13205779863279485,-0.13277242851618754,-0.13320865365829673,-0.13368678990845811,-0.13179029660870267,-0.10068544171424591,-0.0984795427673501,-0.09567790945499903,-0.09209310275968413,-0.09082817042351918,-0.0826595798100298,-0.08449803353612571,-0.08674503732963018,-0.08926887261256046,-0.09133750909056723,0.043408651317603776,0.04164562165197898,0.04002418038991636,0.039058433358367596,0.03676764541918129,-6.227842634109474e-05,-0.0012082619828888616,-0.002422164490786613,-0.003516834773212436,-0.004444772477217059,0.00554036030446184,0.005828447168995939,0.005900572655201773,0.005698874033473904,0.006115530770924348,-0.03571596798624422,-0.03763566625314668,-0.038403445746461644,-0.04017204393134588,-0.039764733534547465
2_T0,0.9613167949868434,0.9710566197000848,0.9814650502523186,0.9919200108799014,1.0,0.0814940122024725,0.08226696053253942,0.08327512840541423,0.08497468521136356,0.08772178685481935,-0.2547430844456695,-0.25591637762723024,-0.2581768401540519,-0.260277781832578,-0.26144173632958706,-0.14015376457448772,-0.14127977837261135,-0.1438362722417449,-0.1458731865890535,-0.14691183887852222,-0.2627779740518579,-0.26263476635044164,-0.2622907125890168,-0.2616451778162219,-0.258886096970491,-0.03218061280809456,-0.03258119773992647,-0.03292878072215518,-0.03247095255945322,-0.03206751751682515,-0.056769720411762876,-0.05671809682288586,-0.05657259019370074,-0.056820475199256225,-0.057684093209035316,-0.0018800015006126681,-0.004050573034851787,-0.005756280665412778,-0.007052991245537325,-0.007337885746780121,-0.021056392120521482,-0.019785685921362584,-0.01877245309004092,-0.018661137139036964,-0.017655643607281044,-0.13112219301151226,-0.1320668674039689,-0.1327811802671542,-0.13321713110720532,-0.13369499376887636,-0.10260988566888371,-0.10074126127396425,-0.09851514087628784,-0.09571145444167221,-0.09212475449848091,-0.0815292069146456,-0.08270707372612335,-0.0845422397032208,-0.08678645503972328,-0.08930768245010384,0.04526325231127688,0.0432830886377712,0.04152884632783275,0.03991483450109116,0.03895576594213683,0.0008072726959642929,-8.454605311229406e-05,-0.0012290425671752812,-0.0024416749244975714,-0.003535160908455378,0.0039731812757024506,0.0055403898306739426,0.005828904122991749,0.005916361973234504,0.005746913943815261,-0.03229698275379521,-0.03566230710449531,-0.03758587212951906,-0.03838234274174797,-0.04015208691198025
3_T4,0.08775765966323594,0.08500303702056175,0.08329506163756312,0.08227760069450592,0.0814940122024725,1.0,0.9893251881819622,0.9742818852489955,0.959621307813532,0.9470200552146786,0.0009792925113996695,0.0058787577180332805,0.009858265402166609,0.012749996926098314,0.015290552681143776,-0.20968012224633548,-0.20909527257514135,-0.2080205028311875,-0.20702673750175266,-0.20619257390525586,-0.07868449420679619,-0.07871814379750355,-0.0777323832957909,-0.07687637560532427,-0.07637072691326406,0.05728412333315391,0.05598167510570135,0.05479576375337468,0.05328281381098211,0.0503949776854509,-0.1523879281489088,-0.1540379503541111,-0.15506557892609493,-0.1550604412757185,-0.15389677529143833,0.05672275729925938,0.05528689502483413,0.05365316724460872,0.051614289915824986,0.050041133027743455,-0.2036864382796462,-0.20524784392194234,-0.20539235214899937,-0.20560616139953883,-0.20483694458576734,-0.12228365496841316,-0.12219259261341947,-0.12165610633112142,-0.12045578606314161,-0.11993068327086168,0.04112014934126247,0.044113474430014406,0.047659695312102734,0.05043817630183037,0.05259352007238465,-0.017224236988962575,-0.01909606849403985,-0.020433235772545508,-0.021466051233439518,-0.022909391899486584,0.035005894434282314,0.03495527229874646,0.03485400898296675,0.034849044381809205,0.03456788985201367,-0.10971513698942582,-0.10975712382784572,-0.11012240686698209,-0.11091025469951292,-0.11147394919373382,-0.0658987341486636,-0.0638325181989522,-0.06144433107730598,-0.0588488305133809,-0.056926261157394235,-0.06480980658468442,-0.06601746134953132,-0.06723076772669068,-0.06826506184238741,-0.06845375248610483
3_T3,0.09008305656559211,0.087748688794923,0.08499358442103225,0.08328509389535003,0.08226696053253942,0.9893251881819622,1.0,0.9893252189284971,0.9742819641338085,0.9596214414637595,-0.00021506618343107657,0.000993661336109897,0.005893823672022936,0.009874126200091426,0.012766944633171805,-0.20993782557386909,-0.20967882362025647,-0.20909816951706742,-0.20802476073836831,-0.2070313352987173,-0.0800273557091073,-0.07869732822296638,-0.07873178879649113,-0.07774360881523167,-0.07688784408426579,0.05960602019906505,0.05729670052372147,0.05599514066434162,0.054810190157215104,0.053298453123646165,-0.1535578689000171,-0.15239577193113032,-0.15404497848822815,-0.1550702750633586,-0.15506552088822828,0.05832831167748502,0.056738583642949474,0.0553037983012551,0.05367128091785956,0.05163393217423376,-0.20342917737229999,-0.2036878010152278,-0.20524933790438943,-0.20539400603369606,-0.20560801128685421,-0.12131297106619396,-0.12227976501136276,-0.12218840845042679,-0.12165160230958919,-0.12045088493075808,0.03921664619350431,0.04113585817095352,0.044124975904698285,0.04767182088854072,0.05045112566952338,-0.016489689123339066,-0.017208272439280595,-0.019079024902332195,-0.020415009059137314,-0.021446408908689332,0.034163247905538895,0.035032106377971134,0.034983133826648694,0.034883701263905054,0.03488100175499417,-0.10892037417088253,-0.10970788106193541,-0.10974940189133145,-0.11011415957583807,-0.11090136328298877,-0.06540967672416634,-0.06589882708774562,-0.06383272917492894,-0.061450647085483506,-0.058868663588591184,-0.06440722017375237,-0.06482828469833231,-0.0660371189254661,-0.06724052915081072,-0.06827544406730401
3_T2,0.09331702509550553,0.09007345107074487,0.087739719704434,0.08498413381817996,0.08327512840541423,0.9742818852489955,0.9893252189284971,1.0,0.9893252496692849,0.9742820430027674,-0.00031292573706902114,-0.0001996642131716765,0.0010080265632683978,0.005908885607108987,0.009889982472316835,-0.21019004702475716,-0.20993648206233664,-0.20968157019130285,-0.20910222171474677,-0.20802901868803428,-0.08120108324168568,-0.08004103018512353,-0.0787101588226798,-0.0787422823185472,-0.07775423410389298,0.060817940740412066,0.05961936286882438,0.05730927457044288,0.05600860261846853,0.05482461241247686,-0.15461564266981195,-0.15356616415236304,-0.15240265386291713,-0.15404967438333256,-0.15507497365250353,0.060182138810990375,0.058345153445728506,0.05675440517189348,0.05532069608231593,0.053689388270411045,-0.20236483029145458,-0.2034306035724455,-0.2036891635123326,-0.20525083160780053,-0.20539565958722786,-0.11898801951332084,-0.12130892420157621,-0.12227587574820292,-0.12218422508417591,-0.12164709920753926,0.03694678926191513,0.03923359183890522,0.0411467700777096,0.044136474617463076,0.04768394334883855,-0.015626096929542924,-0.016472650636207866,-0.017192312017432262,-0.019061986015436128,-0.020396787740367597,0.03403583268490295,0.03419144356546187,0.035058304853082915,0.03501098004612898,0.03491337603117701,-0.10651329915407079,-0.10891262681296968,-0.10970062650685838,-0.10974168151338969,-0.11010591406885113,-0.06454430320552579,-0.06540984502721996,-0.06589892000755433,-0.06383849957616153,-0.061468735433518835,-0.06453072251048929,-0.06442692848204729,-0.06484675699998736,-0.06604635901168518,-0.06725028761936866
3_T1,0.09571454167813591,0.09330666817960806,0.09006384760645644,0.08773075239124208,0.08497468521136356,0.959621307813532,0.9742819641338085,0.9893252496692849,1.0,0.9893252804042508,3.339687068686846e-05,-0.00029640317302024856,-0.0001842663576540546,0.0010223881942813683,0.005923943524967172,-0.2109351657924527,-0.21018867384551454,-0.20993944512866458,-0.2096854019260017,-0.20910627391431644,-0.08228670452477556,-0.08121572606419099,-0.08005470077586528,-0.07872001130803462,-0.078752214878597,0.0613932173760325,0.060832202870857215,0.059632701985161816,0.05732184547454774,0.05602206096958972,-0.15583522805159047,-0.15462446220851375,-0.1535734075220409,-0.15240741823198287,-0.15405437225326254,0.06259370353126543,0.060200108434006715,0.058361989743968716,0.056770221888531903,0.05533758837099383,-0.20092839540516427,-0.2023663211039665,-0.20343202950633896,-0.20369052577101343,-0.20525232503222843,-0.1163436850019844,-0.11898380400918346,-0.1213048781062636,-0.12227198717875919,-0.12218004251446327,0.03475865325119292,0.03696516798385294,0.039245329341883586,0.041157679526851336,0.04414797056931556,-0.014059066740228752,-0.015607844589812006,-0.016455616849430876,-0.017176355721741973,-0.019044951831311562,0.0342452054519568,0.03406613670571098,0.03421962373462146,0.03508448987283572,0.035038810973257256,-0.10426411675863607,-0.10650501298690063,-0.10890488101854975,-0.10969337332379588,-0.1097339626935488,-0.06369341083513443,-0.06454446943027267,-0.06541001329283679,-0.0659042235694618,-0.06385518265750376,-0.06457557905204589,-0.06455183566739799,-0.06444663018136375,-0.06485550783111454,-0.0660555964835256
3_T0,0.09820477654354368,0.09570329898883874,0.0932963136101894,0.09005424617208041,0.08772178685481935,0.9470200552146786,0.9596214414637595,0.9742820430027674,0.9893252804042508,1.0,0.001092936298890162,5.120303705314718e-05,-0.0002798853359032773,-0.00016887261515561038,0.0010367462305610159,-0.2111640685554179,-0.21093376632426786,-0.21019189926408524,-0.20994356291790559,-0.2096892336580092,-0.08318155898489031,-0.0823025133689031,-0.08123036442671487,-0.08006522909368723,-0.0787293348731792,0.06176131140018986,0.061408614595830746,0.060846460935961647,0.0596460375495813,0.057334413237279815,-0.15791426147845755,-0.15584465271261344,-0.15463212886429942,-0.1535783462769893,-0.1524121841380937,0.06555936623625853,0.06261297186629926,0.06021807180510214,0.058378820575166454,0.05678603379531733,-0.2003184945208161,-0.2009299434889793,-0.20236781161830802,-0.2034334551740819,-0.2036918877913675,-0.11424965891989133,-0.11633927535846154,-0.11897958936276443,-0.12130083278002175,-0.12226809930284456,0.03217088300457701,0.03477872509787265,0.03697785520831639,0.03925706402114104,0.04116858651924731,-0.012431885096448188,-0.01403941011064239,-0.015589597644276159,-0.016438587760971308,-0.017160403550537086,0.03507441043497443,0.034277936535988665,0.03409642289046133,0.03424778842924929,0.03511066145043014,-0.10240213001642426,-0.10425519809117362,-0.10649672861151059,-0.10889713678713574,-0.10968612151237192,-0.06292446709596221,-0.06369342179751046,-0.06454463561541524,-0.06541573560164872,-0.06591969774448156,-0.06447760815420929,-0.06459852550980533,-0.06457294123772231,-0.06445593131128445,-0.0648642563386843
