Pattern, Confidence-Frequence
Total number of input patterns: 19243
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.9109429569266589 - 1565']]
[[[['QuasiVuota_T0_0,Normal_T0_3,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.9104389086595492 - 1535']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9103369503141062 - 1594']]
[[[['Normal_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.9102773246329527 - 1674']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9084783829309376 - 1618']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.9068684516880093 - 1558']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.9063408958696917 - 1558']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_3,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.9027533684827183 - 1541']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.9 - 1674']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8999421631000578 - 1556']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.899671052631579 - 1641']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['Normal_T1_3']]], ['0.8970331588132635 - 1542']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['Normal_T1_3']]], ['0.896774193548387 - 1668']]
[[[['QuasiVuota_T0_0,Normal_T0_2,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8946449359720605 - 1537']]
[[[['Normal_T0_0,Normal_T0_3,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.89 - 1513']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_2,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8899242865463017 - 1528']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.8888265019651881 - 1583']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.8880639634494575 - 1555']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8880179171332587 - 1586']]
[[[['Normal_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['Normal_T1_2']]], ['0.8792822185970636 - 1617']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['Normal_T1_2']]], ['0.8744517543859649 - 1595']]
[[[['Normal_T0_0,Normal_T0_2,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8694951664876477 - 1619']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['Normal_T2_2']]], ['0.8663967611336032 - 1498']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['Normal_T2_2']]], ['0.8649592549476135 - 1486']]
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.844123285651084 - 5724']]
[[[['QuasiVuota_T0_0,Normal_T0_2,Normal_T0_2,QuasiVuota_T0_2'], ['Normal_T1_2']]], ['0.8436045691721901 - 5982']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_3,Normal_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.8429655575014594 - 5776']]
[[[['Normal_T0_0,Normal_T0_2,Normal_T0_2,QuasiVuota_T0_2'], ['Normal_T1_2']]], ['0.8427917302622451 - 6074']]
[[[['Normal_T0_0,QuasiVuota_T0_3,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8417005879692447 - 5583']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_2,Normal_T1_2,QuasiVuota_T1_2'], ['Normal_T2_2']]], ['0.8406259055346277 - 5802']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,QuasiVuota_T1_2'], ['Normal_T2_2']]], ['0.8395485069295614 - 5876']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8374727668845315 - 5766']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8372710379612424 - 3154']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Normal_T0_2'], ['QuasiVuota_T1_3']]], ['0.8353454919085538 - 3252']]
[[[['Normal_T0_0,Normal_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['Normal_T1_2']]], ['0.8349760630808223 - 5930']]
[[[['QuasiVuota_T0_0,Normal_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['Normal_T1_2']]], ['0.8346180798878766 - 5955']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,QuasiVuota_T0_2'], ['QuasiVuota_T1_3']]], ['0.8345579521213558 - 3521']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Normal_T0_2'], ['QuasiVuota_T1_3']]], ['0.8332925934979223 - 3409']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8329912775782452 - 3247']]
[[[['Normal_T0_0,QuasiVuota_T0_3,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8324898785425101 - 3290']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,QuasiVuota_T0_2'], ['QuasiVuota_T1_3']]], ['0.8324541572469228 - 3314']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8310767246937459 - 2578']]
[[[['Normal_T0_0'], ['Normal_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Normal_T2_3']]], ['0.8306146227789106 - 5703']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8296812749003984 - 3332']]
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_3,Normal_T1_2'], ['Normal_T2_3']]], ['0.829254571026723 - 2948']]
