Pattern, Confidence-Frequence
Total number of input patterns: 29408
[[[['QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.9341372912801484 - 1007']]
[[[['Normal_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Normal_T1_3']]], ['0.9302325581395349 - 120']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.9286367795059469 - 1015']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9280575539568345 - 129']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Normal_T1_3']]], ['0.9280575539568345 - 129']]
[[[['QuasiPiena_T0_0,Normal_T0_2,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.9266304347826086 - 1023']]
[[[['Normal_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9224806201550387 - 119']]
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.9172413793103448 - 133']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['Normal_T1_2']]], ['0.9117647058823529 - 961']]
[[[['Normal_T0_0'], ['Normal_T1_1,Normal_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.9104477611940298 - 244']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.9097888675623801 - 948']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9070208728652751 - 956']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.9069097888675623 - 945']]
[[[['Normal_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['Normal_T1_2']]], ['0.9068441064638784 - 954']]
[[[['QuasiPiena_T0_0,Normal_T0_3,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.9060402684563759 - 135']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9040307101727447 - 942']]
[[[['QuasiPiena_T0_0,Normal_T0_1,Normal_T0_1,Normal_T0_1'], ['Normal_T1_1']]], ['0.9024390243902439 - 222']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9021164021164021 - 341']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_3,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.9020979020979021 - 129']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_1']]], ['0.8990825688073395 - 392']]
[[[['Normal_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['QuasiPiena_T1_2']]], ['0.8982889733840305 - 945']]
[[[['Normal_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_1']]], ['0.896 - 336']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.8951219512195122 - 367']]
[[[['Normal_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Normal_T2_3']]], ['0.8914728682170543 - 115']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8905950095969289 - 928']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.8873239436619719 - 126']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['Normal_T2_3']]], ['0.8859060402684564 - 132']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_1,Normal_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8851851851851852 - 239']]
[[[['Normal_T0_0,Normal_T0_2,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8834080717488789 - 985']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['Normal_T2_3']]], ['0.8802816901408451 - 125']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.8791946308724832 - 131']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8665540540540541 - 513']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Normal_T0_3'], ['QuasiPiena_T1_2']]], ['0.8632162661737524 - 934']]
[[[['Normal_T0_0,QuasiPiena_T0_3,Normal_T0_3,Normal_T0_3'], ['Normal_T1_3']]], ['0.8618107556160653 - 1266']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_3,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8613188307273963 - 1267']]
[[[['Normal_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.8611111111111112 - 372']]
[[[['Normal_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Normal_T0_3'], ['QuasiPiena_T1_2']]], ['0.8606701940035273 - 976']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_2']]], ['0.8602941176470589 - 1404']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.8597285067873304 - 380']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.8584474885844748 - 376']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Normal_T1_3'], ['QuasiPiena_T2_1']]], ['0.8582089552238806 - 345']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8581890812250332 - 1289']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Normal_T1_3'], ['QuasiPiena_T2_1']]], ['0.85785536159601 - 344']]
