TIME SLOT: slots Pattern, Confidence-Frequence
Total number of input patterns: 29366
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['1.0 - 57']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['1.0 - 48']]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['1.0 - 45']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_1']]], ['1.0 - 40']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['1.0 - 22']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['1.0 - 12']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['1.0 - 12']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['1.0 - 11']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['1.0 - 11']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_3']]], ['1.0 - 10']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['1.0 - 10']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['1.0 - 10']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['Piena_T2_3']]], ['1.0 - 10']]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['1.0 - 10']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['1.0 - 9']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['1.0 - 9']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['1.0 - 4']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['1.0 - 4']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_2']]], ['1.0 - 2']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2']]], ['1.0 - 2']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_3']]], ['1.0 - 2']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['1.0 - 2']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['Piena_T1_0']]], ['1.0 - 2']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['Piena_T2_0']]], ['1.0 - 2']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['1.0 - 2']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['Piena_T2_3']]], ['1.0 - 2']]
[[[['QuasiPiena_T0_0,Piena_T0_1,Piena_T0_1,Piena_T0_1'], ['Piena_T1_1']]], ['0.9951456310679612 - 205']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_1,Piena_T0_1'], ['Piena_T1_1']]], ['0.9935064935064936 - 153']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9865771812080537 - 147']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9849246231155779 - 196']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9836512261580381 - 361']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9827586206896551 - 57']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9820426487093153 - 875']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_1,Piena_T0_3'], ['QuasiPiena_T2_1']]], ['0.9795918367346939 - 48']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9776951672862454 - 2104']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9776119402985075 - 917']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_1'], ['Piena_T1_3'], ['QuasiPiena_T2_1']]], ['0.9772727272727273 - 43']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9768292682926829 - 801']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_1'], ['Piena_T1_2']]], ['0.9767441860465116 - 126']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.975443383356071 - 2145']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9745762711864406 - 115']]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9743589743589743 - 114']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_1']]], ['0.9696428571428571 - 1629']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9691912708600771 - 755']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1,Piena_T0_0'], ['QuasiPiena_T1_1']]], ['0.9691275167785235 - 722']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_3'], ['QuasiPiena_T1_2']]], ['0.9683470105509965 - 826']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2']]], ['0.9668367346938775 - 379']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.966626213592233 - 1593']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9661016949152542 - 114']]
[[[['QuasiPiena_T0_0,Piena_T0_1,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T2_1']]], ['0.9660194174757282 - 199']]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9658119658119658 - 113']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_3'], ['QuasiPiena_T1_2']]], ['0.9647058823529412 - 82']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9643705463182898 - 812']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.963963963963964 - 107']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.963855421686747 - 160']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], ['0.963855421686747 - 80']]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9631147540983607 - 705']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.961038961038961 - 666']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T2_1']]], ['0.961038961038961 - 148']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9596042868920033 - 1164']]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.959445037353255 - 899']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_1,Piena_T0_3'], ['QuasiPiena_T1_1']]], ['0.9591836734693877 - 47']]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.958656330749354 - 371']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9585185185185185 - 1294']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9584631360332295 - 923']]
[[[['Piena_T0_0,QuasiPiena_T0_3,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T2_1']]], ['0.9583333333333334 - 115']]
[[[['Piena_T0_0,QuasiPiena_T0_3,Piena_T0_1,Piena_T0_1'], ['Piena_T1_1']]], ['0.9583333333333334 - 115']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_2']]], ['0.9583333333333334 - 46']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2']]], ['0.9583333333333334 - 46']]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9574468085106383 - 135']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9573643410852714 - 1976']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_2']]], ['0.9573560767590619 - 898']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9565846599131693 - 1983']]
[[[['QuasiPiena_T0_0,Piena_T0_1,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['0.9565217391304348 - 22']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9555984555984556 - 495']]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['0.9555555555555556 - 43']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_2'], ['QuasiPiena_T2_1']]], ['0.9554730983302412 - 515']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['Piena_T1_2']]], ['0.9552238805970149 - 64']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_3'], ['QuasiPiena_T1_2']]], ['0.9549636803874092 - 1972']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9544401544401544 - 1236']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_1']]], ['0.954248366013072 - 146']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_1,Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_1']]], ['0.9541984732824428 - 125']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9535050071530758 - 1333']]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9532944120100083 - 2286']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9530201342281879 - 142']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9530201342281879 - 142']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9525 - 2667']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9523809523809523 - 1460']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_1,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9523809523809523 - 20']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_1,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9523809523809523 - 20']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9523642732049037 - 2719']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9521367521367521 - 2228']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.952054794520548 - 139']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['Piena_T1_2']]], ['0.952054794520548 - 139']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9518796992481203 - 1266']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], ['0.9518072289156626 - 158']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_2']]], ['0.951278928136419 - 1562']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9507224898110411 - 2566']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_2']]], ['0.9506558400999375 - 1522']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_3'], ['Piena_T2_1']]], ['0.95 - 38']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.95 - 19']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['0.9492753623188406 - 655']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_1']]], ['0.9487870619946092 - 352']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9482758620689655 - 2970']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9473853063843439 - 2953']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9473684210526315 - 72']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T2_2']]], ['0.9472502805836139 - 844']]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9470198675496688 - 143']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9469387755102041 - 1392']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9466666666666667 - 213']]
