TIME SLOT: slots Pattern, Confidence-Frequence
Total number of input patterns: 28786
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['1.0 - 79']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_1,Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['1.0 - 46']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['1.0 - 36']]
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_1,Piena_T0_1'], ['Piena_T1_1']]], ['1.0 - 29']]
[[[['QuasiPiena_T0_1,Piena_T0_0'], ['Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['1.0 - 29']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['1.0 - 26']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_1,Piena_T0_1'], ['Piena_T1_1']]], ['1.0 - 26']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0']]], ['1.0 - 25']]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['1.0 - 24']]
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['1.0 - 24']]
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_1']]], ['1.0 - 24']]
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['1.0 - 24']]
[[[['QuasiPiena_T0_0,Piena_T0_1,Piena_T0_1'], ['Piena_T1_0'], ['QuasiPiena_T2_2']]], ['1.0 - 22']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_0,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['1.0 - 21']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_0,Piena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], ['1.0 - 21']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['1.0 - 19']]
