Filtered Pattern, Confidence-Frequence
Total number of input patterns: 13485
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0'], ['QuasiVuota_T2_0,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6607529208135007 - 4581']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6567590740211489 - 2298']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6551899592944369 - 3863']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6549730914889376 - 3286']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6526005888125613 - 3325']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6523364485981309 - 3839']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6498311761395611 - 9238']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0'], ['Vuota_T2_3,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6483597493549577 - 1759']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6481248182963465 - 6688']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.6448362720403022 - 4608']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6442018072289156 - 5133']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6435812734935642 - 5650']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6421966408756369 - 3403']]
[[[['Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6411849550649062 - 5779']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0'], ['QuasiVuota_T2_3,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6410366245448704 - 2993']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.640962015651842 - 6716']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6402355004384317 - 5111']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.6397743992153017 - 5218']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.639589905362776 - 811']]
[[[['Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.639009900990099 - 3227']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6380400421496312 - 1211']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0'], ['QuasiVuota_T2_0,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6368646080760095 - 6703']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6368373764600179 - 3544']]
[[[['QuasiVuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6365885136588514 - 5919']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6364421416234888 - 4422']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6360106770201407 - 7863']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6359036632260676 - 3142']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.635791681230339 - 1819']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['QuasiVuota_T1_0'], ['Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6355699675729608 - 5096']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6347358997314234 - 9217']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6347346657477602 - 1842']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0'], ['Vuota_T2_2,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6347213042520379 - 2881']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6346644010195412 - 2988']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6345823798627003 - 4437']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0'], ['QuasiVuota_T2_2,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6334235860409145 - 4211']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6332366348943225 - 3056']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6330503209774281 - 9171']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.632972972972973 - 4684']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6327632763276327 - 4921']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6323341836734694 - 5949']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0'], ['Vuota_T2_1,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.631358024691358 - 2557']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.631272174353776 - 4982']]
