Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3528
[[[['Normal_T0_0,QuasiVuota_T0_0'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7785654008438818 - 18452']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7635633968121758 - 20168']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7622201198360139 - 24170']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_0,QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.7542428917787084 - 10266']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.7527857656362329 - 8377']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_0,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.7525633722586158 - 10569']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7524946543121882 - 8446']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.7512437810945274 - 8607']]
[[[['Normal_T0_0,Normal_T0_3'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7499345835150458 - 8598']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7498729028978139 - 10325']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7478894858019954 - 9745']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_0,QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7469453575637288 - 12043']]
[[[['Normal_T0_0'], ['Normal_T1_0,Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7451268848841486 - 10130']]
[[[['QuasiVuota_T0_0,Normal_T0_3'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7450643776824034 - 10416']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7447434292866083 - 11901']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_0,Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7446808510638298 - 12495']]
[[[['Normal_T0_0,Normal_T0_1'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7446474023057343 - 9947']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_2,Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7444053626956212 - 14603']]
[[[['Normal_T0_0,QuasiVuota_T0_1'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7443580647596045 - 9862']]
[[[['QuasiVuota_T0_0,Normal_T0_1'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.742984382625671 - 12179']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7426836861768369 - 14313']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7422397858372107 - 11645']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7419532830605113 - 12102']]
[[[['Normal_T0_0,QuasiVuota_T0_2'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7418613558023746 - 11622']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7416918429003021 - 14239']]
[[[['QuasiVuota_T0_0,Normal_T0_2'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7382826567885991 - 14350']]
[[[['Normal_T0_0,Normal_T0_2'], ['Normal_T1_0,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.7382152760272246 - 11714']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['Normal_T1_0']]], ['0.6928197812648598 - 8742']]
