Filtered Pattern, Confidence-Frequence
Total number of input patterns: 6322
[[[['Normal_T0_0'], ['Normal_T1_0'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.8245636225651404 - 13038']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.8198828997404479 - 13583']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7939095173729824 - 19970']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7899754357234764 - 13507']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.7873098089996763 - 4864']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.7870619946091644 - 5840']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.7864022662889518 - 6940']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_1'], ['Normal_T2_0']]], ['0.7838556239507555 - 5603']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.7838023335621139 - 5710']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_1'], ['Normal_T2_0']]], ['0.7836662749706228 - 6669']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7835257548845471 - 14116']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7827316586258526 - 4705']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7827021904727193 - 21475']]
[[[['Normal_T0_0,Normal_T0_3'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7823700355182435 - 4846']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7816899150232484 - 24377']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7815897218692645 - 5536']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7794408359220559 - 5520']]
[[[['Normal_T0_0'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7793424799378721 - 15053']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7789820923656927 - 6612']]
[[[['QuasiPiena_T0_0,Normal_T0_3'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7787321063394683 - 5712']]
[[[['Normal_T0_0,QuasiPiena_T0_3'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7782017252820173 - 4691']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7767317690037937 - 5528']]
[[[['Normal_T0_0,Normal_T0_1'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7749725576289791 - 5648']]
