Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3033
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 30']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 26']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 26']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 25']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_2,Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 24']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 23']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 22']]
[[[['QuasiVuota_T0_0,Vuota_T0_2'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 20']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 19']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['1.0 - 18']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['1.0 - 17']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_1'], ['Vuota_T2_0']]], ['1.0 - 16']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T1_0']]], ['1.0 - 14']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T2_0']]], ['1.0 - 14']]
[[[['QuasiVuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_3,Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 14']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['1.0 - 14']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 8']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 8']]
[[[['QuasiVuota_T0_3,Vuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 8']]
[[[['QuasiVuota_T0_1,QuasiVuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 6']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['QuasiVuota_T2_0']]], ['1.0 - 6']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 6']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 6']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 6']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 4']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['1.0 - 3']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T2_0']]], ['1.0 - 3']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 3']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['1.0 - 3']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Vuota_T1_2'], ['QuasiVuota_T2_0']]], ['1.0 - 3']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_1'], ['Vuota_T2_0']]], ['1.0 - 3']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 3']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 3']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['Vuota_T1_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0'], ['QuasiVuota_T2_0']]], ['1.0 - 2']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0,Vuota_T1_1'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
[[[['QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_0']]], ['1.0 - 2']]
