Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3491
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['1.0 - 12']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_0']]], ['1.0 - 11']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_0']]], ['1.0 - 10']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['1.0 - 7']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1,Piena_T0_3'], ['QuasiPiena_T2_0']]], ['1.0 - 6']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1,Piena_T0_3'], ['Piena_T2_0']]], ['1.0 - 6']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['1.0 - 4']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_0']]], ['1.0 - 4']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_0']]], ['1.0 - 4']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['1.0 - 4']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_0']]], ['1.0 - 4']]
[[[['Piena_T0_0,Piena_T0_1,Piena_T0_3'], ['Piena_T1_2'], ['QuasiPiena_T2_0']]], ['1.0 - 4']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['1.0 - 2']]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_0']]], ['1.0 - 2']]
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['1.0 - 2']]
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_0']]], ['1.0 - 2']]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['1.0 - 2']]
